"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779699763909270E9,"2026-05-25 18:02:43.909 UTC+09:00"
"PAUSE",1.663778787502088E1,1.779699780546737E9,"2026-05-25 18:03:00.547 UTC+09:00"
