"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780479931772280E9,"2026-06-03 18:45:31.772 UTC+09:00"
"PAUSE",1.148679279166390E1,1.780479943258855E9,"2026-06-03 18:45:43.259 UTC+09:00"
