"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.684925079E-3,3.670588216E1,1.370963775E2,1.911089457E1,NaN,NaN,1.646500101E1,3.000002013E1
5.265951157E-3,3.670588216E1,1.370963775E2,2.082129140E1,NaN,NaN,3.259501400E1,3.992349708E1
7.367014885E-3,3.670588253E1,1.370963778E2,1.911314143E1,NaN,NaN,1.702640758E1,3.000000000E1
3.454101086E-2,3.670588208E1,1.370963774E2,1.911089457E1,NaN,NaN,1.702517336E1,3.000009781E1
6.013518929E0,3.670588239E1,1.370963777E2,1.911314143E1,NaN,NaN,1.449071381E1,3.000000000E1
