"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704175633802E9,"2026-05-25 19:16:15.634 UTC+09:00"
"PAUSE",6.786666875006631E0,1.779704182420354E9,"2026-05-25 19:16:22.420 UTC+09:00"
