"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780479730238684E9,"2026-06-03 18:42:10.239 UTC+09:00"
"PAUSE",1.295447279166547E1,1.780479743192911E9,"2026-06-03 18:42:23.193 UTC+09:00"
