"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704530705195E9,"2026-05-25 19:22:10.705 UTC+09:00"
"PAUSE",1.478665279166307E1,1.779704545491509E9,"2026-05-25 19:22:25.492 UTC+09:00"
