"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703518400843E9,"2026-05-25 19:05:18.401 UTC+09:00"
"PAUSE",9.093160499993246E0,1.779703527497637E9,"2026-05-25 19:05:27.498 UTC+09:00"
