"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703963537099E9,"2026-05-25 19:12:43.537 UTC+09:00"
"PAUSE",1.695797541667707E1,1.779703980494791E9,"2026-05-25 19:13:00.495 UTC+09:00"
