"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.605957031E-3,3.670588268E1,1.370963779E2,1.911314143E1,NaN,NaN,1.702337646E1,3.000000000E1
4.224097729E-2,3.670588278E1,1.370963776E2,1.910948313E1,NaN,NaN,1.705646259E1,3.000008668E1
6.028281927E0,3.670588272E1,1.370963778E2,1.911314143E1,NaN,NaN,1.505976839E1,3.000000000E1
1.203633392E1,3.670588269E1,1.370963779E2,1.911314143E1,NaN,NaN,1.466534823E1,3.000000000E1
