"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.851634583E-1,-4.456996545E-2,1.588729024E-1,3.571744859E-1
8.952074583E-1,-1.409860551E-1,1.228814274E-1,2.247357368E-1
9.052524583E-1,-2.287180275E-1,2.703354461E-3,8.962506056E-2
9.152964583E-1,-2.879243791E-1,-1.876090169E-1,-4.101882130E-2
9.253404583E-1,-3.117980361E-1,-3.885170817E-1,-1.692920923E-1
9.353844583E-1,-3.278189003E-1,-5.753353238E-1,-3.011206388E-1
9.454284583E-1,-3.495023549E-1,-7.257796526E-1,-4.109379649E-1
9.554724583E-1,-3.422536254E-1,-7.722802162E-1,-5.058052540E-1
9.655164583E-1,-3.432352841E-1,-8.022218943E-1,-6.275460720E-1
9.755604583E-1,-4.083441794E-1,-8.495752215E-1,-7.438889742E-1
9.856044583E-1,-5.097490549E-1,-8.489930630E-1,-8.246828914E-1
9.956484583E-1,-5.632107854E-1,-7.549632192E-1,-8.928735852E-1
1.005692458E0,-5.137420297E-1,-5.918866992E-1,-9.127713442E-1
1.015736458E0,-3.708048463E-1,-3.985424042E-1,-8.921706080E-1
1.025780458E0,-2.197159976E-1,-2.713924348E-1,-8.484822512E-1
1.035824458E0,-1.120781302E-1,-1.840426475E-1,-7.616494298E-1
1.045869458E0,-8.449151367E-2,-1.261503249E-1,-6.356925964E-1
1.055913458E0,-1.243221536E-1,-4.136715829E-2,-5.088733435E-1
1.065957208E0,-2.143931985E-1,6.581921130E-2,-4.168294370E-1
1.076001208E0,-3.063910007E-1,1.399485022E-1,-4.130851030E-1
1.086045208E0,-3.884027600E-1,1.183819398E-1,-4.574725330E-1
1.096089208E0,-4.949415624E-1,9.950275999E-4,-4.655115306E-1
1.106133208E0,-6.176134348E-1,-1.115434989E-1,-4.671557546E-1
1.116177208E0,-7.257520556E-1,-1.423851252E-1,-4.941769540E-1
1.126221208E0,-7.912842035E-1,-6.897600368E-3,-5.427010655E-1
1.136265208E0,-7.881161571E-1,3.173053563E-1,-6.187326908E-1
1.146309208E0,-6.744377613E-1,7.815268040E-1,-7.037176490E-1
1.156353208E0,-3.178288639E-1,1.479149342E0,-6.841334105E-1
1.166397208E0,3.653502464E-1,2.552686691E0,-4.442348182E-1
1.176441208E0,7.602799535E-1,3.684214830E0,-1.653619111E-4
1.186485208E0,4.977769554E-1,4.018216133E0,1.297665238E-1
1.196530208E0,1.913191676E-1,2.868003130E0,1.343928277E-1
1.206574208E0,2.842203677E-1,9.531474113E-1,8.141668141E-2
1.216618208E0,5.929715633E-1,-4.074726999E-1,-1.930290312E-1
1.226662208E0,7.699426413E-1,-3.782660663E-1,-5.774129629E-1
1.236706208E0,3.616860509E-1,1.170282125E0,-9.778592587E-1
1.246750208E0,-1.440621018E-1,1.492139101E0,-1.273101926E0
1.256794208E0,-5.850415230E-1,2.914572060E-1,-1.526352048E0
1.266838208E0,-8.604030609E-1,-1.218800187E0,-1.678732276E0
1.276882208E0,-8.790292740E-1,-2.380758524E0,-1.711906195E0
1.286926208E0,-7.513730526E-1,-3.148900509E0,-1.643872499E0
1.296970208E0,-5.957956314E-1,-3.596162081E0,-1.513933301E0
1.307014208E0,-5.000706911E-1,-3.609121084E0,-1.350480199E0
1.317058208E0,-5.092170835E-1,-2.799338579E0,-1.207831860E0
1.327102208E0,-5.789538622E-1,-1.733752012E0,-1.112269640E0
1.337146208E0,-6.540527940E-1,-1.228890538E0,-1.007461190E0
1.347191208E0,-7.223107219E-1,-1.185511112E0,-8.988728523E-1
1.357235208E0,-7.834128141E-1,-1.251553774E0,-8.308170438E-1
1.367279208E0,-8.369335532E-1,-1.277299285E0,-7.976881266E-1
1.377323208E0,-8.838933706E-1,-1.237734556E0,-7.881264687E-1
1.387367208E0,-9.231728315E-1,-1.144680262E0,-7.828182578E-1
1.397411208E0,-9.625912309E-1,-1.001003265E0,-7.629671693E-1
1.407455208E0,-1.000562072E0,-7.978882790E-1,-7.224777937E-1
1.417499208E0,-1.027374387E0,-5.492978692E-1,-6.564674377E-1
1.427543208E0,-1.046071887E0,-2.884649038E-1,-5.969247818E-1
1.437587208E0,-1.041371584E0,-7.046291977E-2,-5.466163754E-1
1.447631208E0,-1.019513965E0,1.028561369E-1,-5.034047365E-1
1.457675208E0,-9.819330573E-1,2.363150120E-1,-4.577614963E-1
1.467719208E0,-9.464472532E-1,3.398198485E-1,-4.189129174E-1
1.477763208E0,-9.243261218E-1,3.926534057E-1,-3.908255994E-1
1.487808208E0,-9.263094068E-1,3.991816044E-1,-3.780291080E-1
1.497852208E0,-9.468374252E-1,4.025097787E-1,-3.590269089E-1
1.507896208E0,-9.948664904E-1,4.908452332E-1,-3.077043295E-1
1.517940208E0,-1.066613913E0,6.693229675E-1,-2.463134527E-1
1.527984208E0,-1.142184615E0,8.572604060E-1,-2.317792475E-1
1.538028208E0,-1.196253300E0,9.775438309E-1,-2.653047144E-1
1.548072208E0,-1.220825434E0,1.001720309E0,-3.107241094E-1
1.558116208E0,-1.214810967E0,9.702305794E-1,-3.537671268E-1
1.568160208E0,-1.188586831E0,8.881641626E-1,-3.950597048E-1
1.578204208E0,-1.148637652E0,7.663313150E-1,-4.466111660E-1
1.588248208E0,-1.096417785E0,6.165519953E-1,-5.109022260E-1
1.598292208E0,-1.034770846E0,4.442825615E-1,-5.772936344E-1
1.608336208E0,-9.715114236E-1,2.666598558E-1,-6.407367587E-1
1.618380208E0,-9.127172232E-1,1.177058145E-1,-7.011237741E-1
1.628425208E0,-8.790754080E-1,-1.529059000E-2,-7.372871041E-1
1.638469208E0,-8.677852154E-1,-1.047664061E-1,-7.411226034E-1
1.648513208E0,-8.838874698E-1,-1.817783713E-1,-7.347108126E-1
1.658557208E0,-9.274207950E-1,-2.747644484E-1,-7.278941870E-1
1.668601208E0,-9.744088054E-1,-4.134136736E-1,-7.134670615E-1
1.678645208E0,-1.004839897E0,-5.501834154E-1,-6.782180071E-1
1.688689208E0,-1.026056767E0,-5.904224515E-1,-6.418088675E-1
1.698733208E0,-1.024605274E0,-5.092266798E-1,-6.265106797E-1
1.708777208E0,-9.682649970E-1,-3.935107589E-1,-6.247060895E-1
1.718821208E0,-8.214793801E-1,-3.086744249E-1,-6.075357199E-1
1.728865208E0,-6.091322303E-1,-2.700316906E-1,-5.803938508E-1
1.738909208E0,-3.639605939E-1,-2.699169517E-1,-5.491358638E-1
1.748953208E0,-1.205594093E-1,-2.873172760E-1,-4.929757118E-1
1.758998208E0,9.318280220E-2,-2.777813673E-1,-3.915344477E-1
1.769042208E0,2.501311302E-1,-1.809334010E-1,-2.472622246E-1
1.779086208E0,3.587254286E-1,-1.686699130E-2,-1.008356586E-1
