"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.607984167E-1,3.335513763E0,-7.243886261E0,-3.553610229E-1
7.708434167E-1,3.435206451E0,-7.149282990E0,-4.796026611E-1
7.808874167E-1,3.423530731E0,-7.347919922E0,-6.703060913E-1
7.909314167E-1,3.465892639E0,-7.764952698E0,-8.837622070E-1
8.009764167E-1,3.521127777E0,-8.646918640E0,-7.804769897E-1
8.110204167E-1,3.227737885E0,-9.739047546E0,-3.200344849E-1
8.210654167E-1,2.402054901E0,-1.053209839E1,2.254312134E-1
8.311094167E-1,1.651964722E0,-1.104104004E1,6.155200195E-1
8.411544167E-1,1.393452301E0,-1.105690704E1,7.720944214E-1
8.511984167E-1,1.220412140E0,-1.089793762E1,6.521937561E-1
8.612434167E-1,1.269809418E0,-1.082668579E1,6.839277649E-1
8.712874167E-1,1.427281952E0,-1.041070084E1,6.730004883E-1
8.813324167E-1,1.547032928E0,-9.847721558E0,4.987628174E-1
8.913764167E-1,1.620380402E0,-9.094188538E0,1.818717957E-1
9.014203750E-1,1.570683746E0,-8.111332397E0,-2.194436646E-1
9.114653750E-1,1.155596924E0,-7.705975342E0,6.735992432E-3
9.215093750E-1,4.888833618E-1,-7.710166626E0,7.972421265E-1
9.315543750E-1,-2.888992310E-1,-7.949369202E0,1.769919434E0
9.415983750E-1,-3.823049927E-1,-8.050259399E0,2.540966034E0
9.516433750E-1,-2.694396973E-2,-8.009843445E0,2.893333282E0
9.616873750E-1,1.092727661E-1,-7.871231689E0,2.813848572E0
9.717323750E-1,2.731819153E-1,-7.568710785E0,2.498604126E0
9.817763750E-1,3.616479492E-1,-7.291187897E0,1.981878662E0
9.918213750E-1,2.597099304E-1,-7.018005981E0,1.423390045E0
1.001865375E0,1.453477478E-1,-6.697372742E0,9.693841553E-1
1.011909375E0,-6.691085815E-2,-6.276148682E0,5.005590820E-1
1.021954375E0,-3.694317627E-1,-5.988147583E0,5.523513794E-2
1.031998375E0,-5.495072937E-1,-5.748795319E0,-1.181044006E-1
1.042043375E0,-6.054908752E-1,-5.528453522E0,-2.814147949E-2
1.052087375E0,-5.599855042E-1,-5.326523438E0,9.819580078E-2
1.062132375E0,-3.948788452E-1,-5.217400360E0,3.194357300E-1
1.072176375E0,-2.345622253E-1,-5.250481567E0,5.703140259E-1
1.082221375E0,-6.346801758E-2,-5.435047760E0,8.083190918E-1
1.092265375E0,6.301895142E-2,-5.787864075E0,1.126407623E0
1.102309375E0,8.562194824E-2,-6.285728760E0,1.704655151E0
1.112354375E0,-8.247848511E-2,-6.982829132E0,2.687810669E0
1.122398375E0,-4.153862000E-1,-7.753276978E0,4.312681732E0
1.132443375E0,-1.048270111E0,-8.554710388E0,7.020251312E0
1.142487375E0,-1.867666168E0,-9.721833344E0,9.224417725E0
1.152532375E0,-2.421215057E0,-1.152139114E1,8.711135101E0
1.162576375E0,-2.952310638E0,-1.373708359E1,7.537126465E0
1.172621375E0,-2.462229767E0,-1.521855286E1,6.637197876E0
1.182665375E0,-1.894310760E0,-1.550999680E1,7.508086853E0
1.192710375E0,-2.694995728E0,-1.533096909E1,8.884175262E0
1.202754375E0,-2.233056335E0,-1.387045624E1,1.132919083E1
1.212798375E0,-5.480104065E-1,-1.191731781E1,1.132634674E1
1.222843375E0,9.846524048E-1,-1.106259521E1,8.367599487E0
1.232887375E0,2.223027191E0,-1.091739716E1,4.520449677E0
1.242932375E0,2.563269653E0,-1.203916443E1,1.053658905E0
1.252976375E0,2.556683350E0,-1.431563049E1,-5.652246094E-1
1.263021375E0,2.581082611E0,-1.670436310E1,-7.550299072E-1
1.273065375E0,2.724933472E0,-1.819556213E1,-2.447410583E-1
1.283110375E0,2.689906311E0,-1.770114029E1,5.269042969E-1
1.293154375E0,2.427202606E0,-1.527333893E1,2.317480774E0
1.303199375E0,2.479294281E0,-1.198946777E1,3.318299561E0
1.313243375E0,1.560654602E0,-9.406588898E0,9.716294861E-1
1.323287375E0,7.478448486E-1,-7.491471405E0,-1.434766388E0
1.333332375E0,3.001258850E-1,-6.352938995E0,-2.742896118E0
1.343376375E0,2.468367004E-1,-5.377567291E0,-3.043471069E0
1.353421375E0,3.879931641E-1,-4.615951080E0,-2.835553436E0
1.363465375E0,4.041595459E-1,-4.291575623E0,-2.518363037E0
1.373510375E0,3.802093506E-1,-4.249363403E0,-2.142045593E0
1.383554375E0,2.267784119E-1,-4.950205994E0,-1.833686829E0
1.393599375E0,8.352630615E-2,-6.305188293E0,-1.566642151E0
1.403643375E0,-1.622625732E-1,-7.806715851E0,-1.494192810E0
1.413687375E0,-3.390449524E-1,-9.264234924E0,-1.473386078E0
1.423732375E0,-2.896476746E-1,-1.053224808E1,-1.403780823E0
1.433776375E0,-1.839674377E-1,-1.140149048E1,-1.352736969E0
1.443821375E0,-1.609153748E-1,-1.156255554E1,-1.232686615E0
1.453865375E0,-1.486408997E-1,-1.093341385E1,-1.119821320E0
1.463910375E0,-2.183958435E-1,-9.988279266E0,-1.043330383E0
1.473954375E0,-3.210823059E-1,-9.180259552E0,-9.735754395E-1
1.483999375E0,-3.933819580E-1,-8.661438446E0,-9.345066833E-1
1.494043375E0,-4.531077576E-1,-8.364306335E0,-9.442364502E-1
1.504088375E0,-4.514611816E-1,-8.150101776E0,-9.059161377E-1
1.514132375E0,-5.727090454E-1,-8.103997650E0,-7.367678833E-1
1.524176375E0,-7.337741089E-1,-8.002359009E0,-4.023632813E-1
1.534221375E0,-6.288423157E-1,-7.766299896E0,-1.091230774E-1
1.544265375E0,-6.128256226E-1,-7.685467987E0,1.052311707E-1
1.554310375E0,-6.179150391E-1,-7.580236816E0,2.547702026E-1
1.564354375E0,-6.304888916E-1,-7.567812653E0,4.102967834E-1
1.574399375E0,-7.659571838E-1,-7.952362976E0,4.659809875E-1
1.584443375E0,-9.669891357E-1,-8.642427979E0,4.061054993E-1
1.594488375E0,-1.175804901E0,-9.357790375E0,1.135388947E0
1.604532375E0,-1.949396210E0,-1.045710434E1,5.608387299E0
1.614576375E0,-2.371668091E0,-1.086021606E1,5.877677307E0
1.624621375E0,-1.770368500E0,-1.004366409E1,3.890409851E0
1.634665375E0,-1.219514008E0,-9.108708344E0,3.875291290E0
1.644710375E0,-1.083896027E0,-8.173004150E0,3.772904205E0
1.654754375E0,-9.728269958E-1,-8.091274109E0,2.743045807E0
1.664799375E0,-1.209185486E0,-8.731941833E0,2.305206299E0
1.674843375E0,-1.207688599E0,-8.659193115E0,2.475552063E0
1.684888375E0,-9.256750488E-1,-8.617130585E0,2.217039642E0
1.694932375E0,-8.849597168E-1,-9.055419159E0,1.531165924E0
1.704977375E0,-1.122366028E0,-9.696685638E0,9.313632202E-1
1.715021375E0,-1.437760162E0,-1.040725800E1,5.364843750E-1
1.725065375E0,-1.518442383E0,-1.070394104E1,2.674937439E-1
1.735110375E0,-1.316661987E0,-1.062221100E1,6.361770630E-2
1.745154375E0,-1.364412689E0,-1.037911652E1,9.819580078E-2
1.755199375E0,-1.916165314E0,-1.040995239E1,3.965254211E-1
1.765243375E0,-2.308948517E0,-1.079255676E1,6.734495544E-1
1.775288375E0,-2.567161560E0,-1.141002274E1,7.149133301E-1
1.785332375E0,-2.973416748E0,-1.225336899E1,6.432124329E-1
1.795377375E0,-3.325484619E0,-1.329310684E1,5.337899780E-1
1.805421375E0,-3.501368866E0,-1.445035034E1,2.396516418E-1
1.815465375E0,-3.590583344E0,-1.565115326E1,-2.866539001E-1
1.825510375E0,-3.658392334E0,-1.655527313E1,-8.539741516E-1
1.835554375E0,-3.499123535E0,-1.709954132E1,-1.396146698E0
1.845599375E0,-3.187172241E0,-1.722887238E1,-1.841919708E0
1.855643375E0,-2.802322540E0,-1.689761124E1,-2.001487885E0
1.865688375E0,-2.309846649E0,-1.590487564E1,-1.887275391E0
1.875732375E0,-1.767374725E0,-1.430515228E1,-1.932780762E0
1.885777375E0,-1.406624908E0,-1.270572830E1,-1.999841309E0
1.895821500E0,-8.494834900E-1,-1.103610031E1,-1.819466400E0
1.905866500E0,-2.799179077E-1,-9.575437775E0,-1.290167084E0
1.915910500E0,2.317181396E-1,-8.495583344E0,-7.750881958E-1
1.925954500E0,8.214916992E-1,-7.501650238E0,-2.739303589E-1
1.935999500E0,8.704399109E-1,-6.946754150E0,-1.194515991E-1
1.946043500E0,1.116378479E0,-6.438411255E0,-7.993377686E-2
1.956088500E0,1.639390869E0,-6.366410980E0,1.017883301E-2
1.966132500E0,2.209704895E0,-6.694828033E0,-7.978408813E-2
1.976177500E0,2.797382812E0,-7.209757233E0,-2.936892700E-1
1.986221500E0,3.158432007E0,-8.111033020E0,-1.062789917E-1
1.996266500E0,3.054098969E0,-9.224717102E0,8.538244629E-1
2.006310500E0,2.207908630E0,-1.029783554E1,2.213147736E0
2.016354500E0,1.604513397E0,-1.049871780E1,2.583028564E0
2.026399500E0,1.849553833E0,-9.883197784E0,1.552122345E0
2.036443500E0,1.906435547E0,-9.364526367E0,3.951782227E-2
2.046488500E0,1.435664520E0,-9.354497223E0,-5.900729370E-1
2.056532500E0,9.080117798E-1,-9.312883759E0,-7.035369873E-1
2.066577500E0,4.632865906E-1,-9.264833679E0,-5.080435181E-1
2.076621500E0,-6.721023560E-2,-9.145980835E0,-7.439529419E-2
2.086666500E0,-5.195695496E-1,-8.803942108E0,5.078938293E-1
2.096710500E0,-7.250921631E-1,-8.220455475E0,1.116378479E0
2.106755500E0,-7.201524353E-1,-7.530839539E0,1.591340790E0
2.116799500E0,-4.951702881E-1,-6.812483368E0,1.846260681E0
2.126843500E0,-2.519261169E-1,-6.169869690E0,1.905537415E0
2.136888500E0,-1.456471252E-1,-5.700745239E0,1.902992706E0
2.146932500E0,-7.723937988E-2,-5.442083130E0,1.796264648E0
2.156977500E0,-1.146615601E-1,-5.480403442E0,1.595981140E0
2.167021500E0,-2.383044434E-1,-5.774691467E0,1.374591522E0
2.177066500E0,-3.198847961E-1,-6.115682373E0,1.115330658E0
2.187110500E0,-4.477189636E-1,-6.333479462E0,8.406518555E-1
2.197155500E0,-5.556445312E-1,-6.477480011E0,5.508544922E-1
2.207199500E0,-5.037025452E-1,-6.528224487E0,2.712359619E-1
2.217244500E0,-3.799099731E-1,-6.398743744E0,7.379653931E-2
2.227288500E0,-2.850073242E-1,-6.215824127E0,-5.972579956E-2
2.237332500E0,-2.945874023E-1,-6.144721985E0,-7.259902954E-2
2.247377500E0,-4.336482239E-1,-6.170618134E0,5.269042969E-2
2.257421500E0,-5.572911072E-1,-6.306984558E0,3.860472107E-1
2.267466500E0,-5.466632080E-1,-6.637796631E0,1.168769531E0
2.277510500E0,-5.367837524E-1,-7.213200073E0,2.733914795E0
2.287555500E0,-1.049766998E0,-7.954009552E0,6.257437592E0
2.297599500E0,-2.236199799E0,-9.607620850E0,8.992549896E0
2.307644500E0,-3.739822998E0,-1.226594284E1,8.718469849E0
2.317688500E0,-4.599036255E0,-1.514655258E1,7.020401001E0
2.327732500E0,-3.792214050E0,-1.683504135E1,5.502557373E0
2.337777500E0,-3.322790222E0,-1.800934937E1,1.025876678E1
2.347821500E0,-1.426533508E0,-1.777478714E1,1.604408615E1
2.357866500E0,3.052153015E-1,-1.592029358E1,1.446232544E1
2.367910500E0,1.402583313E0,-1.465707047E1,1.144265488E1
2.377955500E0,2.146685944E0,-1.409379181E1,6.392307129E0
2.387999500E0,2.024689636E0,-1.541359726E1,1.456321564E0
2.398044500E0,2.108665009E0,-1.716121307E1,-9.003776550E-1
2.408088500E0,2.186802521E0,-1.759920227E1,-1.645228729E0
2.418132500E0,2.300416260E0,-1.614662292E1,-1.632954254E0
2.428177500E0,1.989363098E0,-1.361598541E1,-1.832938385E0
2.438221500E0,2.056273956E0,-1.083536774E1,-4.053570557E-1
2.448266500E0,2.670446777E0,-8.273594971E0,2.051483917E0
2.458310500E0,2.282603302E0,-6.670578461E0,1.874402161E0
2.468355500E0,1.309925995E0,-5.831573181E0,-2.492317200E-1
2.478399500E0,8.475375366E-1,-5.553301849E0,-2.089355164E0
2.488444500E0,8.020321655E-1,-5.217100983E0,-2.846630402E0
2.498488500E0,5.866300964E-1,-5.004842377E0,-2.986289978E0
2.508533500E0,2.136058044E-1,-5.579796753E0,-3.008443909E0
2.518577500E0,-2.820135498E-1,-6.446195068E0,-3.143463135E0
2.528621500E0,-6.885681152E-1,-7.201224976E0,-3.185825043E0
2.538666500E0,-8.216413879E-1,-7.961493988E0,-2.919379120E0
2.548710500E0,-7.685018921E-1,-8.974587250E0,-2.485132141E0
2.558755500E0,-8.292755127E-1,-9.941426697E0,-2.034868469E0
2.568799500E0,-8.131091309E-1,-1.057460999E1,-1.533261566E0
2.578844500E0,-8.638536072E-1,-1.096110626E1,-1.058149567E0
2.588888500E0,-1.060843964E0,-1.090497299E1,-7.455995178E-1
2.598933500E0,-1.206640778E0,-1.037582336E1,-3.776646423E-1
2.608977500E0,-1.133442993E0,-9.753118286E0,-1.682501221E-1
2.619021500E0,-9.951306152E-1,-9.158554688E0,-8.711883545E-2
2.629066500E0,-8.373587036E-1,-8.559799805E0,-1.272354126E-2
2.639110500E0,-7.050338745E-1,-8.106392670E0,4.954696655E-2
2.649155500E0,-6.950047302E-1,-7.710466003E0,6.691085815E-2
2.659199500E0,-7.273374939E-1,-7.482340393E0,9.041198730E-2
2.669244500E0,-7.475454712E-1,-7.453300781E0,1.074765015E-1
2.679288500E0,-7.056326294E-1,-7.470514984E0,1.161584473E-1
2.689333500E0,-7.120692444E-1,-7.537425842E0,1.562750244E-1
