"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780479826456433E9,"2026-06-03 18:43:46.456 UTC+09:00"
"PAUSE",1.560523037498933E1,1.780479842061367E9,"2026-06-03 18:44:02.061 UTC+09:00"
