"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.468448750E-1,-2.384241943E0,-8.760831757E0,-7.714956665E-1
7.568888750E-1,-2.464026031E0,-8.644972687E0,-7.521858215E-1
7.669338750E-1,-2.502645721E0,-8.625064087E0,-7.155120850E-1
7.769778750E-1,-2.548899536E0,-8.755442963E0,-6.963519287E-1
7.870218750E-1,-2.590213623E0,-9.096882935E0,-6.926097107E-1
7.970668750E-1,-2.561623077E0,-9.606573029E0,-6.379733276E-1
8.071108750E-1,-2.344275055E0,-1.001821701E1,-5.854325867E-1
8.171548750E-1,-2.020348663E0,-1.033600616E1,-5.087919617E-1
8.271998750E-1,-1.731599121E0,-1.058688446E1,-4.218228149E-1
8.372438750E-1,-1.536854095E0,-1.084554657E1,-3.999682617E-1
8.472878750E-1,-1.408271484E0,-1.105585922E1,-4.367916870E-1
8.573318750E-1,-1.296903076E0,-1.112306946E1,-5.159770203E-1
8.673768750E-1,-1.182690582E0,-1.098266144E1,-6.785389709E-1
8.774208750E-1,-1.087189178E0,-1.067430267E1,-8.553213501E-1
8.874658750E-1,-9.310638428E-1,-1.023451721E1,-1.011895752E0
8.975098750E-1,-8.343649292E-1,-9.678573303E0,-1.131497040E0
9.075538750E-1,-9.030720520E-1,-9.194479980E0,-1.219214630E0
9.175988750E-1,-1.161883850E0,-8.892857208E0,-1.234931946E0
9.276428750E-1,-1.428778839E0,-8.620872803E0,-1.185684357E0
9.376868750E-1,-1.503174133E0,-8.240513763E0,-1.064586182E0
9.477318750E-1,-1.536854095E0,-7.968978424E0,-8.806187439E-1
9.577758750E-1,-1.589394836E0,-7.796686707E0,-7.038363647E-1
9.678198750E-1,-1.665586395E0,-7.714956665E0,-5.674699402E-1
9.778648750E-1,-1.725461884E0,-7.638615417E0,-4.264631653E-1
9.879088750E-1,-1.727407837E0,-7.586074677E0,-2.710862732E-1
9.979528750E-1,-1.762884064E0,-7.507637787E0,-7.828720093E-2
1.007996875E0,-1.770667877E0,-7.395371246E0,4.328997803E-1
1.018041875E0,-1.714235229E0,-7.245383148E0,1.308279419E0
1.028085875E0,-1.525627441E0,-7.151827698E0,1.633702698E0
