"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.884098053E-3,3.670588207E1,1.370963774E2,1.911089457E1,NaN,NaN,1.708971810E1,3.000003958E1
7.271051407E-3,3.670588207E1,1.370963774E2,1.964086095E1,NaN,NaN,4.009501400E1,3.727750725E1
2.343904972E-2,3.670588255E1,1.370963778E2,1.911314143E1,NaN,NaN,1.788654971E1,3.000000000E1
4.489004612E-2,3.670588205E1,1.370963774E2,1.911089457E1,NaN,NaN,1.788511885E1,3.000005246E1
6.030086994E0,3.670588239E1,1.370963777E2,1.911314143E1,NaN,NaN,1.473607435E1,3.000000000E1
