"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780479683113189E9,"2026-06-03 18:41:23.113 UTC+09:00"
"PAUSE",1.413633791665779E1,1.780479697249259E9,"2026-06-03 18:41:37.249 UTC+09:00"
