"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704236258553E9,"2026-05-25 19:17:16.259 UTC+09:00"
"PAUSE",8.002106916683260E0,1.779704244260526E9,"2026-05-25 19:17:24.261 UTC+09:00"
