"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779699548107706E9,"2026-05-25 17:59:08.108 UTC+09:00"
"PAUSE",7.420386583369691E0,1.779699555528010E9,"2026-05-25 17:59:15.528 UTC+09:00"
