"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704934296825E9,"2026-05-25 19:28:54.297 UTC+09:00"
"PAUSE",8.695870624971576E0,1.779704942992540E9,"2026-05-25 19:29:02.993 UTC+09:00"
