"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779699846545326E9,"2026-05-25 18:04:06.545 UTC+09:00"
"PAUSE",8.870159333338961E0,1.779699855415314E9,"2026-05-25 18:04:15.415 UTC+09:00"
