"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779705031874833E9,"2026-05-25 19:30:31.875 UTC+09:00"
"PAUSE",1.647401424997952E1,1.779705048348552E9,"2026-05-25 19:30:48.349 UTC+09:00"
