"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704458316617E9,"2026-05-25 19:20:58.317 UTC+09:00"
"PAUSE",8.620700875006150E0,1.779704466937173E9,"2026-05-25 19:21:06.937 UTC+09:00"
