"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779699627917044E9,"2026-05-25 18:00:27.917 UTC+09:00"
"PAUSE",9.187829625036102E0,1.779699637104198E9,"2026-05-25 18:00:37.104 UTC+09:00"
