"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.122401250E-1,4.508116656E-1,5.159514095E0,8.331403468E0
8.222861250E-1,4.491430895E-1,5.162300293E0,8.329767417E0
8.323331250E-1,4.475736969E-1,5.164589478E0,8.328433083E0
8.423791250E-1,4.464226359E-1,5.165819147E0,8.327732002E0
8.524251250E-1,4.452929173E-1,5.166199216E0,8.327556585E0
8.624721250E-1,4.435527494E-1,5.166347736E0,8.327557755E0
8.725181250E-1,4.411825805E-1,5.166968710E0,8.327298138E0
8.825641250E-1,4.380916692E-1,5.168179083E0,8.326709908E0
8.926111250E-1,4.353333914E-1,5.169701698E0,8.325909424E0
9.026571250E-1,4.328439394E-1,5.171089827E0,8.325177353E0
9.127031250E-1,4.308494906E-1,5.172019535E0,8.324703144E0
9.227501250E-1,4.290730334E-1,5.172321251E0,8.324607834E0
9.327961250E-1,4.273694837E-1,5.171880956E0,8.324969192E0
9.428421250E-1,4.262858485E-1,5.170950079E0,8.325602446E0
9.528891250E-1,4.260036107E-1,5.169484182E0,8.326527475E0
9.629351250E-1,4.262454661E-1,5.168042259E0,8.327409820E0
9.729811250E-1,4.265424316E-1,5.167270426E0,8.327873504E0
9.830281250E-1,4.269513347E-1,5.167414852E0,8.327762992E0
9.930741250E-1,4.274818964E-1,5.168274978E0,8.327202244E0
1.003120125E0,4.285207639E-1,5.169226905E0,8.326557881E0
1.013167125E0,4.303046398E-1,5.169282453E0,8.326431581E0
1.023213125E0,4.329637707E-1,5.167937593E0,8.327127984E0
1.033259125E0,4.361346062E-1,5.165318041E0,8.328588034E0
1.043306125E0,4.389361534E-1,5.161951214E0,8.330527555E0
1.053352125E0,4.412249728E-1,5.158801904E0,8.332357734E0
1.063399125E0,4.430519354E-1,5.156632002E0,8.333603776E0
1.073445125E0,4.448359574E-1,5.155628035E0,8.334130025E0
1.083491125E0,4.471672057E-1,5.156033247E0,8.333754634E0
1.093538125E0,4.499126197E-1,5.157831851E0,8.332493974E0
1.103584125E0,4.528676928E-1,5.160317502E0,8.330794188E0
1.113630125E0,4.556215121E-1,5.162830635E0,8.329086801E0
1.123677125E0,4.582761846E-1,5.164856696E0,8.327685224E0
1.133723125E0,4.605198343E-1,5.165991055E0,8.326857843E0
1.143769125E0,4.625390971E-1,5.166182259E0,8.326627463E0
1.153816125E0,4.643506742E-1,5.165532049E0,8.326929764E0
1.163862125E0,4.657147200E-1,5.164280745E0,8.327629675E0
1.173908125E0,4.667493482E-1,5.163121242E0,8.328290995E0
1.183955125E0,4.676511351E-1,5.162518979E0,8.328613762E0
1.194001125E0,4.683675652E-1,5.162854024E0,8.328365840E0
1.204047125E0,4.692010127E-1,5.164027560E0,8.327591084E0
1.214094125E0,4.702869137E-1,5.165529710E0,8.326598226E0
1.224140125E0,4.711533980E-1,5.166986251E0,8.325645715E0
1.234186125E0,4.716019525E-1,5.167838191E0,8.325090814E0
1.244233125E0,4.707591129E-1,5.167403743E0,8.325408318E0
1.254279125E0,4.690049848E-1,5.166166472E0,8.326274875E0
1.264325125E0,4.671123141E-1,5.165418613E0,8.326844979E0
1.274372125E0,4.656967032E-1,5.165729100E0,8.326732128E0
1.284418125E0,4.650005557E-1,5.167047647E0,8.325953279E0
1.294464125E0,4.648744020E-1,5.169143874E0,8.324658705E0
1.304511125E0,4.651539720E-1,5.171736529E0,8.323032594E0
1.314557125E0,4.649754857E-1,5.174040917E0,8.321609967E0
1.324603125E0,4.639706052E-1,5.175941262E0,8.320484378E0
1.334650125E0,4.621383436E-1,5.177165084E0,8.319824812E0
1.344696125E0,4.592162341E-1,5.177867335E0,8.319549993E0
1.354742125E0,4.562577988E-1,5.178370196E0,8.319399719E0
1.364789125E0,4.542714631E-1,5.178863116E0,8.319201499E0
1.374835125E0,4.532458615E-1,5.179510987E0,8.318854174E0
1.384881125E0,4.529605174E-1,5.180345970E0,8.318349559E0
1.394928125E0,4.531789474E-1,5.181057576E0,8.317894646E0
1.404974125E0,4.537059277E-1,5.181213112E0,8.317768931E0
1.415020125E0,4.540914785E-1,5.180975130E0,8.317895815E0
1.425067125E0,4.538531679E-1,5.180621958E0,8.318129119E0
1.435113125E0,4.529089888E-1,5.180167630E0,8.318463580E0
1.445159125E0,4.518013800E-1,5.179820305E0,8.318740153E0
1.455205125E0,4.509174637E-1,5.179441990E0,8.319023743E0
1.465252125E0,4.499193440E-1,5.178973628E0,8.319369314E0
1.475298125E0,4.482236149E-1,5.178345053E0,8.319852294E0
1.485344125E0,4.460302877E-1,5.177645141E0,8.320405440E0
1.495391042E0,4.435629455E-1,5.176952831E0,8.320967942E0
1.505437042E0,4.417231556E-1,5.176583871E0,8.321295387E0
1.515483042E0,4.407837273E-1,5.176584456E0,8.321345088E0
1.525530042E0,4.402864582E-1,5.176788524E0,8.321244516E0
1.535576042E0,4.395635961E-1,5.176831208E0,8.321256210E0
1.545622042E0,4.387577767E-1,5.176214327E0,8.321682472E0
1.555669042E0,4.375277784E-1,5.174637918E0,8.322727954E0
1.565715042E0,4.359123389E-1,5.172123030E0,8.324375115E0
1.575761042E0,4.340432033E-1,5.168812337E0,8.326528645E0
1.585808042E0,4.320630803E-1,5.165060179E0,8.328959917E0
1.595854042E0,4.299065175E-1,5.161302173E0,8.331400545E0
1.605900042E0,4.269953715E-1,5.157890323E0,8.333662832E0
1.615947042E0,4.234791484E-1,5.155239195E0,8.335483071E0
1.625993042E0,4.195163807E-1,5.153287395E0,8.336889911E0
1.636039042E0,4.157097702E-1,5.151507502E0,8.338180391E0
1.646086042E0,4.123248537E-1,5.149681417E0,8.339476134E0
1.656132042E0,4.095591206E-1,5.147112735E0,8.341198724E0
1.666178042E0,4.073895478E-1,5.143603821E0,8.343469198E0
1.676225042E0,4.054513786E-1,5.139480364E0,8.346103953E0
1.686271042E0,4.035811466E-1,5.135710080E0,8.348514760E0
