"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.452333323E-3,5.629792786E-1,5.147645416E0,8.401878204E0
1.149833333E-2,5.487588501E-1,5.139711914E0,8.320297852E0
2.154433331E-2,5.773493958E-1,5.142855377E0,8.287965088E0
3.159033332E-2,6.756948853E-1,5.209915924E0,8.289162598E0
4.163633334E-2,8.056246948E-1,5.253325653E0,8.284821625E0
5.168333332E-2,8.258326721E-1,5.269791412E0,8.210426331E0
6.172933333E-2,7.608677673E-1,5.280419312E0,8.123756561E0
7.177533332E-2,6.840774536E-1,5.291645966E0,8.041727142E0
8.182133333E-2,6.667135620E-1,5.294789429E0,7.963739319E0
9.186733334E-2,7.334747314E-1,5.301525421E0,7.986192627E0
1.019133333E-1,7.973918152E-1,5.328768768E0,8.105494537E0
1.119593333E-1,7.957452393E-1,5.295088806E0,8.198151855E0
1.220053333E-1,7.225474548E-1,5.181475067E0,8.301137695E0
1.320513333E-1,6.397695923E-1,5.095703430E0,8.365653534E0
1.420983333E-1,5.574407959E-1,5.045557709E0,8.403225403E0
1.521443333E-1,4.861889648E-1,4.942422180E0,8.456215210E0
1.621903333E-1,5.316943359E-1,4.946014709E0,8.456514587E0
1.722363333E-1,3.845503235E-1,4.838089142E0,8.662037201E0
1.822823333E-1,2.582130432E-1,4.728516998E0,8.975784760E0
1.923283333E-1,1.363664246E-1,4.586312714E0,9.010063477E0
2.023743333E-1,1.410067749E-1,4.587659912E0,8.973988495E0
2.124203333E-1,1.558259583E-1,4.659959564E0,8.931476898E0
2.224663333E-1,1.817221069E-1,4.709506531E0,8.917106781E0
2.325123333E-1,1.664538574E-1,4.759801941E0,8.923842773E0
2.425593333E-1,1.317260742E-1,4.780009918E0,8.829089813E0
2.526053333E-1,8.876541138E-2,4.859494629E0,8.660240936E0
2.626513333E-1,5.748046875E-2,4.933590546E0,8.442892914E0
2.726973333E-1,4.311035156E-2,4.940326538E0,8.307723999E0
2.827433333E-1,9.909393311E-2,4.974305878E0,8.275241547E0
2.927893333E-1,2.171983337E-1,4.986280975E0,8.260422363E0
3.028353333E-1,3.245251465E-1,5.019212494E0,8.334518280E0
3.128813333E-1,4.299060059E-1,5.031187592E0,8.325536957E0
3.229273333E-1,5.493576050E-1,5.057233429E0,8.230783997E0
3.329733333E-1,6.393205261E-1,5.112767944E0,8.176596680E0
3.430203333E-1,6.786886597E-1,5.116210785E0,8.125253448E0
3.530663333E-1,6.677613831E-1,5.091661835E0,8.061935120E0
3.631123333E-1,6.770420837E-1,5.089266815E0,8.044122162E0
3.731583333E-1,6.719526672E-1,5.065765686E0,8.039781189E0
3.832043333E-1,6.134243774E-1,5.043611755E0,7.999215546E0
3.932503333E-1,6.200106812E-1,5.046455841E0,7.942184143E0
4.032963333E-1,6.816824341E-1,5.071304169E0,7.961943054E0
4.133423333E-1,6.574328613E-1,5.065915375E0,8.056396637E0
4.233883333E-1,5.926176453E-1,5.000202026E0,8.174950104E0
4.334353333E-1,5.514532471E-1,4.929698639E0,8.298892365E0
4.434813333E-1,4.671784973E-1,4.892126770E0,8.387508087E0
4.535273333E-1,4.086502075E-1,4.860841827E0,8.394244080E0
4.635733333E-1,3.785627747E-1,4.881947937E0,8.372389526E0
4.736193333E-1,3.921844482E-1,4.932692413E0,8.344547424E0
4.836653333E-1,3.908372498E-1,4.938979340E0,8.375083923E0
4.937113333E-1,3.577560425E-1,4.948409729E0,8.453520813E0
5.037573333E-1,3.296145630E-1,4.902604980E0,8.499475250E0
5.138033333E-1,3.363505554E-1,4.889132996E0,8.520731049E0
5.238493333E-1,3.769161987E-1,4.940027161E0,8.544830933E0
5.338963333E-1,4.174818420E-1,4.931794281E0,8.532107391E0
5.439423333E-1,4.116439819E-1,4.936734009E0,8.543184357E0
5.539883333E-1,4.089495850E-1,4.940027161E0,8.572074280E0
5.640343333E-1,4.119433594E-1,4.905598755E0,8.630901947E0
5.740803333E-1,4.620890808E-1,4.919070740E0,8.690478058E0
5.841263333E-1,3.764671326E-1,4.930596771E0,8.634644165E0
5.941723333E-1,3.784130859E-1,4.879103851E0,8.575517120E0
6.042183333E-1,4.116439819E-1,4.949307861E0,8.538544006E0
6.142643333E-1,4.638853455E-1,4.980892181E0,8.494236145E0
6.243103333E-1,5.096900940E-1,4.989274750E0,8.471333771E0
6.343573333E-1,5.038522339E-1,4.999004517E0,8.456215210E0
6.444033333E-1,5.017565918E-1,5.005141754E0,8.460256805E0
6.544493333E-1,5.523513794E-1,5.035378876E0,8.453371124E0
6.644953333E-1,5.942642212E-1,5.067561951E0,8.445737000E0
6.745413333E-1,5.815406799E-1,5.058281250E0,8.414601746E0
6.845873333E-1,5.766009521E-1,5.066065063E0,8.411907349E0
6.946337500E-1,5.819897461E-1,5.073848877E0,8.392896881E0
7.046797500E-1,6.209088135E-1,5.065316620E0,8.374934235E0
7.147257500E-1,6.005511475E-1,5.044958954E0,8.375383301E0
7.247717500E-1,5.695655823E-1,5.004093933E0,8.389154663E0
7.348187500E-1,5.786965942E-1,4.975952454E0,8.439150696E0
7.448647500E-1,6.029461670E-1,4.996459808E0,8.456065521E0
7.549107500E-1,5.954617310E-1,4.996010742E0,8.452472992E0
7.649567500E-1,5.486091614E-1,4.969216461E0,8.435857544E0
7.750027500E-1,5.141807556E-1,4.958887939E0,8.417445831E0
7.850487500E-1,4.758604431E-1,4.924609222E0,8.409961395E0
7.950947500E-1,4.444258118E-1,4.892725525E0,8.356971588E0
8.051407500E-1,4.475692749E-1,4.908592529E0,8.320447540E0
8.151867500E-1,4.387376404E-1,4.915777588E0,8.281378784E0
8.252327500E-1,4.339476013E-1,4.921914825E0,8.255632324E0
8.352787500E-1,4.267625427E-1,4.916376343E0,8.278085632E0
8.453257500E-1,4.276606750E-1,4.906796265E0,8.280630341E0
8.553717500E-1,4.839436340E-1,4.922064514E0,8.330776062E0
8.654177500E-1,5.143304443E-1,4.928351440E0,8.417745209E0
8.754637500E-1,5.150788879E-1,4.923112335E0,8.442144470E0
8.855097500E-1,4.888833618E-1,4.931345215E0,8.402776337E0
8.955557500E-1,4.707710266E-1,4.975653076E0,8.367000732E0
9.056017500E-1,4.409829712E-1,4.997956696E0,8.317154388E0
9.156477500E-1,4.526586914E-1,5.017865295E0,8.324788513E0
9.256937500E-1,4.477189636E-1,5.034480743E0,8.427624664E0
9.357397500E-1,4.255650330E-1,4.977599030E0,8.487949219E0
9.457857500E-1,3.984713745E-1,4.952601013E0,8.556057587E0
9.558327500E-1,4.138893127E-1,4.954546967E0,8.566685486E0
9.658787500E-1,4.462220764E-1,4.950505371E0,8.568930817E0
9.759247500E-1,4.809498596E-1,4.951253815E0,8.596174164E0
9.859707500E-1,4.858895874E-1,4.955445099E0,8.631949768E0
9.960167500E-1,4.640350342E-1,4.923112335E0,8.574918365E0
1.006062750E0,4.453239441E-1,4.940775604E0,8.553662567E0
1.016108750E0,4.137396240E-1,4.940176849E0,8.518785095E0
1.026154750E0,3.806584167E-1,4.942422180E0,8.450527039E0
1.036200750E0,3.896397400E-1,4.980293427E0,8.382418671E0
1.046246750E0,4.010160828E-1,4.977748718E0,8.355025635E0
1.056292750E0,4.061054993E-1,4.975503387E0,8.402926025E0
1.066339750E0,4.769082642E-1,4.993615723E0,8.522826691E0
1.076385750E0,5.185217285E-1,4.992867279E0,8.604257355E0
1.086431750E0,5.114863586E-1,4.995861053E0,8.609346771E0
1.096477750E0,4.867877197E-1,4.985382843E0,8.543633423E0
1.106523750E0,4.403842163E-1,4.994364166E0,8.507408752E0
1.116569750E0,4.261637878E-1,4.990322571E0,8.473579102E0
1.126615750E0,4.397854614E-1,4.996759186E0,8.430319061E0
1.136661750E0,4.129911804E-1,4.998256073E0,8.415499878E0
1.146707750E0,3.722758484E-1,4.956941986E0,8.360863495E0
1.156753750E0,3.778143311E-1,4.941823425E0,8.351283417E0
1.166799750E0,4.221221924E-1,4.960085449E0,8.372539215E0
1.176846750E0,4.459226990E-1,4.972210236E0,8.422535248E0
1.186892750E0,4.662803650E-1,4.963378601E0,8.467741241E0
1.196938750E0,4.941224670E-1,4.999752960E0,8.545429688E0
1.206984750E0,4.342469788E-1,4.977149963E0,8.521479492E0
1.217030750E0,3.357518005E-1,4.951403503E0,8.450227661E0
1.227076750E0,3.064128113E-1,4.937781830E0,8.396639099E0
1.237122750E0,3.216810608E-1,4.943470001E0,8.400231628E0
1.247168750E0,3.278182983E-1,4.946463776E0,8.448431396E0
1.257214750E0,3.562591553E-1,4.948709106E0,8.460256805E0
1.267260750E0,3.600013733E-1,4.945715332E0,8.441695404E0
1.277306750E0,3.427871704E-1,4.942272491E0,8.431217194E0
1.287352750E0,3.435356140E-1,4.930447083E0,8.422684937E0
1.297399750E0,3.246748352E-1,4.911436615E0,8.455766144E0
1.307445750E0,3.369493103E-1,4.896467743E0,8.470435638E0
1.317491750E0,3.520678711E-1,4.884043579E0,8.459208984E0
1.327537750E0,3.619473267E-1,4.871769104E0,8.433163147E0
1.337583750E0,3.833528137E-1,4.875211945E0,8.423882446E0
1.347629750E0,4.026626587E-1,4.880451050E0,8.460556183E0
1.357675750E0,3.782633972E-1,4.860392761E0,8.454718323E0
1.367721750E0,3.641926575E-1,4.864134979E0,8.415948944E0
1.377767750E0,4.010160828E-1,4.884492645E0,8.405770111E0
1.387813750E0,4.668791199E-1,4.919519806E0,8.419541473E0
1.397859750E0,4.990621948E-1,4.937183075E0,8.421337738E0
1.407905750E0,5.261558533E-1,4.958438873E0,8.401279449E0
1.417952750E0,4.617897034E-1,4.963378601E0,8.377628632E0
1.427998750E0,4.167333984E-1,4.932093658E0,8.353379059E0
1.438044750E0,4.243675232E-1,4.947212219E0,8.341254272E0
1.448090750E0,4.718188477E-1,4.997357941E0,8.410111084E0
1.458136750E0,4.716691589E-1,4.999453583E0,8.431217194E0
1.468182750E0,4.442761230E-1,4.970713348E0,8.398135986E0
1.478228750E0,3.776646423E-1,4.991969147E0,8.423134003E0
1.488274750E0,3.487747192E-1,4.903203735E0,8.436156921E0
1.498320750E0,3.664379883E-1,4.905748444E0,8.452472992E0
1.508366750E0,4.059558105E-1,4.916825409E0,8.457113342E0
1.518412750E0,4.264631653E-1,4.935386810E0,8.416248322E0
1.528458750E0,4.105961609E-1,4.971761169E0,8.351133728E0
1.538505750E0,3.944297791E-1,4.973856812E0,8.303233337E0
1.548551750E0,3.722758484E-1,4.969815216E0,8.246950378E0
1.558597750E0,3.655398560E-1,4.948858795E0,8.258925476E0
1.568643750E0,3.989204407E-1,4.953648834E0,8.330925751E0
1.578689750E0,4.414320374E-1,4.955295410E0,8.421038361E0
1.588735750E0,4.571493530E-1,4.920717316E0,8.453670502E0
1.598781750E0,4.430786133E-1,4.898563385E0,8.489895172E0
1.608827750E0,4.788542175E-1,4.890180817E0,8.492290192E0
1.618873750E0,4.733157349E-1,4.892126770E0,8.509504395E0
1.628919750E0,4.592449951E-1,4.915627899E0,8.472082214E0
1.638965750E0,4.198768616E-1,4.928800507E0,8.387657776E0
1.649011750E0,3.812571716E-1,4.956492920E0,8.308322754E0
1.659057750E0,3.803590393E-1,4.979694672E0,8.217611389E0
1.669104750E0,3.791615295E-1,4.983436890E0,8.217761078E0
1.679150750E0,3.823049927E-1,4.992567902E0,8.286168823E0
1.689196458E0,3.782633972E-1,4.951104126E0,8.342302094E0
1.699242458E0,3.320095825E-1,4.929848328E0,8.413254547E0
1.709288458E0,3.014730835E-1,4.897964630E0,8.473130035E0
1.719334458E0,3.138972473E-1,4.884642334E0,8.488547974E0
1.729380458E0,3.228785706E-1,4.911286926E0,8.483907623E0
1.739426458E0,3.561094666E-1,4.954397278E0,8.486452332E0
1.749472458E0,3.788621521E-1,4.956492920E0,8.475824432E0
1.759518458E0,3.439846802E-1,4.966671753E0,8.457263031E0
1.769564458E0,2.983296204E-1,4.946014709E0,8.436007233E0
1.779610458E0,2.995271301E-1,4.923411713E0,8.459658051E0
1.789656458E0,3.288661194E-1,4.931045837E0,8.504265289E0
1.799703458E0,3.727249146E-1,4.942272491E0,8.555309143E0
1.809749458E0,3.676354980E-1,4.930297394E0,8.549171906E0
1.819795458E0,3.619473267E-1,4.923262024E0,8.492888947E0
1.829841458E0,3.674858093E-1,4.932393036E0,8.453221436E0
1.839887458E0,3.538641357E-1,4.939877472E0,8.450077972E0
1.849933458E0,3.501219177E-1,4.940775604E0,8.448132019E0
1.859979458E0,3.294648743E-1,4.922663269E0,8.422086182E0
1.870025458E0,3.418890381E-1,4.932542725E0,8.430618439E0
1.880071458E0,3.186872864E-1,4.906945953E0,8.426576843E0
1.890117458E0,3.043171692E-1,4.902305603E0,8.423283691E0
1.900163458E0,3.363505554E-1,4.916675720E0,8.412506104E0
1.910209458E0,3.571572876E-1,4.937931519E0,8.418194275E0
1.920255458E0,3.177891541E-1,4.919519806E0,8.428522797E0
1.930301458E0,3.198847961E-1,4.933590546E0,8.422834625E0
1.940348458E0,3.418890381E-1,4.941823425E0,8.401578827E0
1.950394458E0,3.697311401E-1,4.926854553E0,8.396190033E0
1.960440458E0,3.812571716E-1,4.934039612E0,8.410111084E0
1.970486458E0,3.821553040E-1,4.927303619E0,8.424630890E0
1.980532458E0,3.629951477E-1,4.905299377E0,8.464597778E0
