"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703901794462E9,"2026-05-25 19:11:41.794 UTC+09:00"
"PAUSE",1.546423570835032E1,1.779703917258439E9,"2026-05-25 19:11:57.258 UTC+09:00"
