"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.866960000E-1,-2.932326508E1,-1.238928223E1,-2.506231689E1
8.967400001E-1,-2.922679901E1,-1.262951660E1,-2.500622559E1
9.067840000E-1,-2.902414703E1,-1.290444946E1,-2.481176758E1
9.168290001E-1,-2.918952179E1,-1.293640137E1,-2.508361816E1
9.268730000E-1,-2.915211487E1,-1.292642212E1,-2.488476562E1
9.369180001E-1,-2.909313202E1,-1.298431396E1,-2.504541016E1
9.469620000E-1,-2.907215881E1,-1.282638550E1,-2.477429199E1
9.570060000E-1,-2.919813538E1,-1.281448364E1,-2.470953369E1
9.670510000E-1,-2.913218689E1,-1.272262573E1,-2.480596924E1
9.770950000E-1,-2.923059082E1,-1.247235107E1,-2.465936279E1
9.871400000E-1,-2.936280060E1,-1.222232056E1,-2.454296875E1
9.971840000E-1,-2.935562897E1,-1.214688110E1,-2.470629883E1
1.007228000E0,-2.937161255E1,-1.210043335E1,-2.464892578E1
1.017273000E0,-2.951685333E1,-1.193930054E1,-2.476818848E1
1.027317000E0,-2.951875305E1,-1.181546021E1,-2.478033447E1
1.037362000E0,-2.942741394E1,-1.169244385E1,-2.462902832E1
1.047406000E0,-2.953704834E1,-1.171005249E1,-2.454888916E1
1.057450000E0,-2.966167450E1,-1.168762207E1,-2.465081787E1
1.067495000E0,-2.976125336E1,-1.172705078E1,-2.436254883E1
1.077539000E0,-2.993095398E1,-1.168411255E1,-2.425463867E1
1.087584000E0,-2.985626984E1,-1.157324219E1,-2.399523926E1
1.097628000E0,-2.996974945E1,-1.147573853E1,-2.420886230E1
1.107672000E0,-3.003325653E1,-1.135256958E1,-2.426855469E1
1.117717000E0,-2.999452209E1,-1.134896851E1,-2.395770264E1
1.127761000E0,-3.000183105E1,-1.124984741E1,-2.387774658E1
1.137806000E0,-3.009473419E1,-1.108792114E1,-2.375286865E1
1.147850000E0,-3.010743713E1,-1.095416260E1,-2.358416748E1
1.157894000E0,-3.021559906E1,-1.090948486E1,-2.372570801E1
1.167939000E0,-3.011830139E1,-1.088305664E1,-2.362066650E1
1.177983000E0,-3.027240753E1,-1.088647461E1,-2.366601562E1
1.188028000E0,-3.062146759E1,-1.079617310E1,-2.345288086E1
1.198072000E0,-3.060223389E1,-1.092001343E1,-2.330395508E1
1.208116000E0,-3.080145264E1,-1.087985229E1,-2.326843262E1
1.218161000E0,-3.079776764E1,-1.076364136E1,-2.300427246E1
1.228205000E0,-3.091080475E1,-1.075588989E1,-2.288092041E1
1.238250000E0,-3.096875763E1,-1.069049072E1,-2.273248291E1
1.248294000E0,-3.112413788E1,-1.070895386E1,-2.289953613E1
1.258338000E0,-3.136411285E1,-1.058871460E1,-2.248809814E1
1.268383000E0,-3.158703613E1,-1.042526245E1,-2.225756836E1
1.278427000E0,-3.171843719E1,-1.025408936E1,-2.186743164E1
1.288472000E0,-3.190858459E1,-1.002273560E1,-2.157220459E1
1.298516000E0,-3.214122772E1,-9.792572021E0,-2.156750488E1
1.308560000E0,-3.206011963E1,-9.376159668E0,-2.136828613E1
1.318605000E0,-3.205182648E1,-9.113586426E0,-2.149353027E1
1.328649000E0,-3.202671051E1,-8.838012695E0,-2.162835693E1
1.338694000E0,-3.189872742E1,-8.732604980E0,-2.188275146E1
1.348738000E0,-3.183000946E1,-8.404174805E0,-2.197320557E1
1.358782000E0,-3.166110229E1,-8.351806641E0,-2.215478516E1
1.368827000E0,-3.160279846E1,-8.517425537E0,-2.232037354E1
1.378871000E0,-3.126689148E1,-8.588500977E0,-2.258782959E1
1.388916000E0,-3.113236237E1,-8.838470459E0,-2.279010010E1
1.398960000E0,-3.081568146E1,-9.061889648E0,-2.287652588E1
1.409004000E0,-3.080111694E1,-9.339385986E0,-2.307910156E1
1.419049000E0,-3.063969421E1,-9.587463379E0,-2.314459229E1
1.429093000E0,-3.052725220E1,-9.865570068E0,-2.309252930E1
1.439138000E0,-3.053384399E1,-9.968078613E0,-2.295819092E1
