"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.011030197E-3,3.670588269E1,1.370963779E2,2.103195443E1,NaN,NaN,4.629501400E1,3.868192389E1
9.966969490E-3,3.670588267E1,1.370963779E2,1.911314143E1,NaN,NaN,1.845996260E1,3.000000000E1
4.069197178E-2,3.670588279E1,1.370963776E2,1.910948313E1,NaN,NaN,1.845892122E1,3.000008183E1
6.020228982E0,3.670588271E1,1.370963778E2,1.911314143E1,NaN,NaN,1.583053614E1,3.000000000E1
1.202682602E1,3.670588269E1,1.370963779E2,1.911314143E1,NaN,NaN,1.526815538E1,3.000000000E1
