"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704876461686E9,"2026-05-25 19:27:56.462 UTC+09:00"
"PAUSE",1.592895658337511E1,1.779704892390357E9,"2026-05-25 19:28:12.390 UTC+09:00"
