"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780480471628048E9,"2026-06-03 18:54:31.628 UTC+09:00"
"PAUSE",1.393906545834034E1,1.780480485566849E9,"2026-06-03 18:54:45.567 UTC+09:00"
