"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.857337917E-1,-2.963162231E1,-1.026324463E1,-2.403277588E1
8.957787917E-1,-2.951848602E1,-1.037966919E1,-2.419915771E1
9.058227917E-1,-2.932371521E1,-1.063754272E1,-2.422534180E1
9.158667917E-1,-2.928972626E1,-1.070645142E1,-2.435119629E1
9.259117917E-1,-2.928801727E1,-1.079132080E1,-2.447857666E1
9.359557917E-1,-2.927973938E1,-1.084017944E1,-2.453405762E1
9.459997917E-1,-2.932785034E1,-1.087188721E1,-2.453558350E1
9.560437917E-1,-2.917860413E1,-1.090765381E1,-2.436596680E1
9.660887917E-1,-2.911626434E1,-1.110821533E1,-2.451544189E1
9.761327917E-1,-2.923942566E1,-1.109246826E1,-2.442926025E1
9.861767917E-1,-2.911533356E1,-1.105261230E1,-2.464501953E1
9.962217917E-1,-2.894303894E1,-1.109454346E1,-2.466790771E1
1.006265792E0,-2.885276031E1,-1.105313110E1,-2.439794922E1
1.016309792E0,-2.880680084E1,-1.109210205E1,-2.467584229E1
1.026354792E0,-2.885073090E1,-1.096212769E1,-2.490368652E1
1.036398792E0,-2.876858521E1,-1.084222412E1,-2.516241455E1
1.046442792E0,-2.877453613E1,-1.077169800E1,-2.525103760E1
1.056487792E0,-2.867139435E1,-1.077581787E1,-2.541552734E1
1.066531792E0,-2.853256226E1,-1.079180908E1,-2.539886475E1
1.076575792E0,-2.837062836E1,-1.072781372E1,-2.540808105E1
1.086620792E0,-2.836318207E1,-1.068273926E1,-2.556115723E1
1.096664792E0,-2.842552185E1,-1.082015991E1,-2.541748047E1
1.106708792E0,-2.828620911E1,-1.080639648E1,-2.546307373E1
1.116753792E0,-2.820761108E1,-1.065515137E1,-2.564465332E1
1.126797792E0,-2.822003174E1,-1.077719116E1,-2.573327637E1
1.136841792E0,-2.816285706E1,-1.082092285E1,-2.559204102E1
1.146886792E0,-2.816691589E1,-1.086001587E1,-2.551342773E1
1.156930792E0,-2.818018341E1,-1.085238647E1,-2.547399902E1
1.166974792E0,-2.809249878E1,-1.087573242E1,-2.539062500E1
1.177018792E0,-2.834383392E1,-1.076531982E1,-2.522070312E1
1.187063792E0,-2.824720764E1,-1.075051880E1,-2.504095459E1
1.197107792E0,-2.836309814E1,-1.059814453E1,-2.511248779E1
1.207151792E0,-2.829326630E1,-1.052526855E1,-2.531860352E1
1.217196792E0,-2.819804382E1,-1.038986206E1,-2.539862061E1
1.227240792E0,-2.833346558E1,-1.037078857E1,-2.534057617E1
1.237284792E0,-2.819351959E1,-1.044927979E1,-2.548260498E1
1.247329792E0,-2.805245972E1,-1.043804932E1,-2.569592285E1
1.257373792E0,-2.816187286E1,-1.053573608E1,-2.578179932E1
1.267417792E0,-2.809096527E1,-1.055035400E1,-2.577294922E1
1.277462792E0,-2.803627777E1,-1.066516113E1,-2.577563477E1
1.287506792E0,-2.793221283E1,-1.055435181E1,-2.592712402E1
1.297550792E0,-2.790429688E1,-1.066772461E1,-2.567779541E1
1.307595792E0,-2.771045685E1,-1.071093750E1,-2.573413086E1
