"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.029833304E-3,1.066304147E-1,1.907138228E-1,-8.652672172E-2
1.407383330E-2,9.539841861E-2,2.210899442E-1,-9.073647857E-2
2.411883330E-2,8.498518914E-2,2.755718231E-1,-8.666690439E-2
3.416283330E-2,7.971571386E-2,3.415758312E-1,-7.975379378E-2
4.420783330E-2,8.476480097E-2,4.081519246E-1,-7.292997837E-2
5.425283330E-2,1.011859775E-1,4.752301574E-1,-6.574014574E-2
6.429683330E-2,1.230468005E-1,5.387409925E-1,-5.860793591E-2
7.434183330E-2,1.480437815E-1,5.902735591E-1,-4.994857311E-2
8.438583330E-2,1.699192524E-1,6.237524152E-1,-4.714266583E-2
9.443083330E-2,1.877719462E-1,6.220154762E-1,-5.583862215E-2
1.044748333E-1,1.982205808E-1,5.789289474E-1,-7.315609604E-2
1.145198333E-1,2.029124945E-1,4.992240965E-1,-9.384097159E-2
1.245648333E-1,1.988003105E-1,3.937802315E-1,-1.112322137E-1
1.346088333E-1,1.802690029E-1,2.786341906E-1,-1.214014515E-1
1.446538333E-1,1.469240934E-1,1.675521433E-1,-1.253093779E-1
1.546985000E-1,1.006259099E-1,7.025761157E-2,-1.231203154E-1
1.647435000E-1,4.667532817E-2,-5.137010477E-3,-1.192667261E-1
1.747875000E-1,-1.296834648E-2,-5.597476289E-2,-1.122827232E-1
1.848325000E-1,-6.946810335E-2,-7.874824852E-2,-1.075188592E-1
1.948775000E-1,-1.184303761E-1,-8.302138746E-2,-9.639366716E-2
2.049215000E-1,-1.506748497E-1,-6.864590943E-2,-8.245201409E-2
2.149665000E-1,-1.657933593E-1,-4.198500514E-2,-7.396318763E-2
2.250105000E-1,-1.766361445E-1,4.343579058E-4,-6.346261501E-2
2.350555000E-1,-1.819530874E-1,5.933259055E-2,-4.795000330E-2
2.450995000E-1,-1.930339634E-1,1.358665228E-1,-2.460473403E-2
2.551445000E-1,-2.030648291E-1,2.198178917E-1,-2.111402107E-3
2.651895000E-1,-2.187535167E-1,3.058907092E-1,1.836884022E-2
2.752335000E-1,-2.343513072E-1,3.947025836E-1,3.154082596E-2
2.852785000E-1,-2.518142164E-1,4.824984968E-1,3.849434108E-2
2.953225000E-1,-2.682952881E-1,5.626863837E-1,5.308942869E-2
3.053675000E-1,-2.762948871E-1,6.280462146E-1,6.833922118E-2
3.154115000E-1,-2.775096297E-1,6.630846858E-1,8.633760363E-2
3.254565000E-1,-2.636702657E-1,6.653065681E-1,8.152473718E-2
3.355015000E-1,-2.330939621E-1,6.101329327E-1,3.514801711E-2
3.455455000E-1,-1.830150783E-1,4.742888510E-1,-3.645959124E-2
3.555905000E-1,-9.580577910E-2,2.040248364E-1,-1.024015546E-1
3.656345000E-1,1.059416588E-2,-1.332871616E-1,-1.547672898E-1
3.756795000E-1,8.747565746E-2,-3.590273857E-1,-1.857155859E-1
3.857235000E-1,1.005387306E-1,-3.756601512E-1,-2.091545910E-1
3.957685000E-1,6.158941612E-2,-2.182994485E-1,-2.023897469E-1
4.058135000E-1,1.213664468E-2,2.953378484E-2,-1.578289270E-1
4.158575000E-1,-1.027741656E-2,2.900764346E-1,-1.045939475E-1
4.259025000E-1,2.086265944E-2,5.091006160E-1,-5.159118399E-2
4.359465000E-1,1.112387031E-1,6.498975158E-1,-5.206968635E-3
4.459915000E-1,2.534983754E-1,6.984517574E-1,2.854220755E-2
4.560355000E-1,4.133747220E-1,6.889739633E-1,5.609217286E-2
4.660805000E-1,5.433306098E-1,6.825097203E-1,6.144566089E-2
4.761245000E-1,6.104934812E-1,6.998066306E-1,4.376524314E-2
4.861695000E-1,6.209567785E-1,7.528434396E-1,1.509551611E-2
4.962145000E-1,5.963284373E-1,8.114411831E-1,3.220338374E-3
5.062585000E-1,5.467746854E-1,8.562472463E-1,-5.849855486E-3
5.163035000E-1,4.773723185E-1,9.000766277E-1,-2.361413464E-2
5.263475000E-1,4.099512100E-1,9.402278066E-1,-4.445017129E-2
5.363925000E-1,3.539625704E-1,9.496278167E-1,-5.952566117E-2
5.464365000E-1,3.219636381E-1,9.231155515E-1,-7.299539447E-2
5.564815000E-1,3.165978193E-1,8.846493363E-1,-9.199459106E-2
5.665265000E-1,3.234735727E-1,8.230703473E-1,-1.117166281E-1
5.765705000E-1,3.261845410E-1,7.504863143E-1,-1.371581852E-1
5.866155000E-1,3.085570931E-1,6.649489999E-1,-1.635559648E-1
5.966595000E-1,2.675856352E-1,5.647152066E-1,-1.877415627E-1
6.067045000E-1,2.030870914E-1,4.544568658E-1,-2.227807641E-1
6.167485000E-1,1.240894496E-1,3.318603933E-1,-2.573635280E-1
6.267935000E-1,5.981778353E-2,1.780774891E-1,-2.761763632E-1
6.368385000E-1,1.300743502E-2,-6.485421211E-3,-2.682311237E-1
6.468825000E-1,-3.309534490E-2,-1.913889498E-1,-2.433795333E-1
6.569275000E-1,-9.412200004E-2,-3.428422809E-1,-1.988268495E-1
6.669715000E-1,-1.616256833E-1,-4.404537976E-1,-1.323740780E-1
6.770165000E-1,-2.222072333E-1,-4.676264822E-1,-6.064429134E-2
6.870605000E-1,-2.571787834E-1,-4.219785631E-1,-1.480036974E-2
6.971055000E-1,-2.738651335E-1,-3.211146891E-1,-2.514011227E-3
7.071505000E-1,-2.793499231E-1,-1.415880620E-1,8.213734254E-3
7.171945000E-1,-2.975024879E-1,1.179995984E-1,2.347760648E-2
7.272395000E-1,-3.445056677E-1,4.432216287E-1,1.525163464E-2
7.372835000E-1,-3.875434697E-1,7.628325820E-1,-4.255945794E-3
7.473285000E-1,-4.107438624E-1,1.025487065E0,-1.206087228E-2
7.573725000E-1,-4.074087739E-1,1.197715044E0,-1.131245680E-2
7.674175000E-1,-3.764881492E-1,1.275264144E0,-1.752774045E-2
7.774615000E-1,-3.210352957E-1,1.264027119E0,-2.499484830E-2
7.875065000E-1,-2.634500563E-1,1.181242466E0,-2.885243669E-2
7.975515000E-1,-2.128028572E-1,1.059867382E0,-2.374752052E-2
8.075955000E-1,-1.740682572E-1,9.236285686E-1,-1.921056025E-2
8.176405000E-1,-1.570430696E-1,7.917388678E-1,-2.801723778E-2
8.276845000E-1,-1.617629975E-1,6.702749729E-1,-4.240629822E-2
8.377295000E-1,-1.787651032E-1,5.542624593E-1,-5.070265383E-2
8.477735000E-1,-1.880070716E-1,4.378013313E-1,-5.186192691E-2
8.578185000E-1,-1.779916137E-1,3.196972609E-1,-6.271050870E-2
8.678635000E-1,-1.461921334E-1,2.055222243E-1,-7.646600157E-2
8.779075000E-1,-1.079993024E-1,1.153851748E-1,-9.487593174E-2
8.879525000E-1,-8.577575535E-2,9.161753207E-2,-1.028742045E-1
8.979965000E-1,-9.785485268E-2,1.759651750E-1,-1.061304435E-1
9.080415000E-1,-1.417501420E-1,3.316991031E-1,-1.225693375E-1
9.180855000E-1,-2.156015784E-1,5.137182474E-1,-1.402008981E-1
9.281305000E-1,-3.013487160E-1,6.643839478E-1,-1.610454619E-1
9.381745000E-1,-3.666369319E-1,7.419943213E-1,-1.683428138E-1
9.482195000E-1,-4.068243206E-1,7.275136709E-1,-1.597956717E-1
9.582645000E-1,-4.290954769E-1,6.465273499E-1,-1.560439467E-1
9.683085000E-1,-4.541957676E-1,5.370283127E-1,-1.603302956E-1
9.783535000E-1,-4.744004309E-1,4.075456858E-1,-1.751792878E-1
9.883975000E-1,-4.869002402E-1,2.726389766E-1,-1.875640452E-1
9.984425000E-1,-4.839017987E-1,1.463103741E-1,-2.014354318E-1
1.008486500E0,-4.713916183E-1,4.847675934E-2,-1.969591826E-1
1.018531500E0,-4.543042183E-1,-1.844961196E-2,-1.885634959E-1
1.028576500E0,-4.389822781E-1,-5.820447952E-2,-2.012665123E-1
1.038620500E0,-4.237861931E-1,-5.550773069E-2,-2.185099870E-1
1.048665500E0,-4.073185325E-1,-1.195626147E-2,-2.309445441E-1
1.058709500E0,-3.679384589E-1,4.092929512E-2,-2.566362917E-1
1.068754500E0,-2.870633006E-1,1.065889969E-1,-2.756882906E-1
1.078798500E0,-1.702129394E-1,2.260629535E-1,-2.680884600E-1
1.088843500E0,-5.237765238E-2,4.059120715E-1,-2.480138093E-1
1.098888500E0,4.343574494E-2,5.713288784E-1,-2.274823040E-1
1.108932500E0,7.671806216E-2,6.552879214E-1,-2.238105983E-1
1.118977500E0,3.353521973E-2,6.409797072E-1,-2.425862551E-1
1.129021500E0,-2.116477489E-2,5.061367154E-1,-2.505752146E-1
1.139066500E0,-4.007830098E-2,2.777762711E-1,-2.400566190E-1
1.149110500E0,-1.399263553E-2,-1.133833360E-2,-2.325196117E-1
1.159155333E0,6.920105964E-2,-3.386954367E-1,-2.094015032E-1
1.169199333E0,2.123709917E-1,-6.402292252E-1,-1.509170979E-1
1.179244333E0,3.637147844E-1,-9.040709138E-1,-5.630383641E-2
1.189289333E0,4.869197905E-1,-1.113915205E0,5.825762823E-2
1.199333333E0,5.883632302E-1,-1.265495062E0,1.485133916E-1
1.209378333E0,6.759747863E-1,-1.333822727E0,2.095120400E-1
1.219422333E0,7.737447619E-1,-1.299759388E0,2.856337726E-1
1.229467333E0,8.829990625E-1,-1.168283105E0,4.024085999E-1
1.239511333E0,9.924756289E-1,-9.524854422E-1,5.667515397E-1
1.249556333E0,1.129081726E0,-6.909009814E-1,7.431257963E-1
1.259600333E0,1.304192662E0,-4.199928343E-1,8.686646223E-1
1.269645333E0,1.507091403E0,-1.931106895E-1,8.996737003E-1
1.279690333E0,1.707873464E0,-3.598576039E-2,8.086929321E-1
1.289734333E0,1.879508615E0,1.470458321E-2,6.160869598E-1
1.299779333E0,2.011140585E0,2.154767513E-2,4.059075117E-1
1.309823333E0,2.130774736E0,5.749236047E-2,1.956629455E-1
1.319868333E0,2.271599293E0,6.359328981E-4,1.672387123E-2
1.329912333E0,2.436023951E0,-1.520982236E-1,-1.332664192E-1
1.339957333E0,2.577308416E0,-3.654106259E-1,-2.322400063E-1
1.350002333E0,2.657243013E0,-6.544703841E-1,-2.608200014E-1
1.360046333E0,2.598316669E0,-9.311900139E-1,-2.460339814E-1
1.370091333E0,2.409516811E0,-1.152355671E0,-2.197342068E-1
1.380135333E0,2.097046375E0,-1.273921490E0,-2.594724000E-1
1.390180333E0,1.685931683E0,-1.308080435E0,-3.417371809E-1
1.400224333E0,1.229165554E0,-1.258105874E0,-3.949965239E-1
1.410269333E0,8.306947947E-1,-1.218608856E0,-3.827036321E-1
1.420313333E0,6.101875901E-1,-1.213160634E0,-3.084841371E-1
1.430358333E0,5.868383646E-1,-1.218555689E0,-1.995847970E-1
1.440403333E0,6.934912801E-1,-1.156303763E0,-1.206832230E-1
1.450447333E0,8.443761468E-1,-1.006554842E0,-1.149901822E-1
1.460492333E0,9.687279463E-1,-8.050649762E-1,-1.516804844E-1
1.470536333E0,1.025870323E0,-5.631008148E-1,-1.924204528E-1
1.480581333E0,1.012513399E0,-2.860318124E-1,-2.236546129E-1
1.490625333E0,9.242942333E-1,-1.448047068E-2,-2.341163009E-1
1.500670333E0,7.527227998E-1,2.156200856E-1,-2.314664274E-1
1.510715333E0,5.040663481E-1,3.619437516E-1,-2.069640011E-1
1.520759333E0,1.984484494E-1,3.946770132E-1,-1.650536805E-1
1.530804333E0,-1.279232800E-1,3.240864575E-1,-1.233131588E-1
1.540848333E0,-4.351980686E-1,1.979922652E-1,-8.310428262E-2
1.550893333E0,-7.021749616E-1,7.053469867E-2,-5.200256035E-2
1.560937333E0,-9.235019088E-1,-5.294330418E-2,-1.325543225E-2
1.570982333E0,-1.104381680E0,-1.684352756E-1,3.158128262E-2
1.581026333E0,-1.246838689E0,-2.598749995E-1,7.561378926E-2
1.591071333E0,-1.355012536E0,-3.167209625E-1,9.003853053E-2
1.601116333E0,-1.392991543E0,-3.170273602E-1,5.521254241E-2
1.611160333E0,-1.323625803E0,-2.751768529E-1,-1.566669159E-2
1.621205333E0,-1.088240981E0,-2.046630532E-1,-8.560366184E-2
1.631249333E0,-6.669528484E-1,-1.447802782E-1,-1.283386052E-1
1.641294333E0,1.729908632E-3,-1.090842783E-1,-9.051327407E-2
1.651338333E0,6.558169127E-1,-6.224939227E-2,5.766021833E-2
1.661383333E0,1.054113030E0,6.250040233E-2,3.038294017E-1
1.671428333E0,1.084422231E0,2.273327559E-1,5.156646967E-1
1.681472333E0,8.424875140E-1,2.889240086E-1,5.914112926E-1
1.691517333E0,2.626534104E-1,1.525891386E-2,5.234029889E-1
1.701561333E0,1.188317463E-1,-5.303581357E-1,5.097000003E-1
1.711606333E0,7.287286520E-1,-9.423062801E-1,4.816012681E-1
1.721650333E0,1.425282717E0,-9.988061190E-1,3.656443954E-1
1.731695333E0,1.662706733E0,-6.665599942E-1,1.293058693E-1
1.741739333E0,1.241757035E0,-2.307995223E-3,-1.416012496E-1
1.751784333E0,4.010407329E-1,6.985739470E-1,-3.148342967E-1
1.761829333E0,-5.383076072E-1,1.280637980E0,-3.726813495E-1
1.771873333E0,-1.403762221E0,1.788258553E0,-2.998161912E-1
1.781918333E0,-2.133442879E0,2.275759459E0,-1.195657998E-1
1.791962333E0,-2.618004084E0,2.528892994E0,9.913539141E-2
1.802007333E0,-2.843890190E0,2.566588402E0,3.775625825E-1
1.812051333E0,-2.852871656E0,2.552949905E0,5.924764872E-1
1.822096333E0,-2.681051970E0,2.477775574E0,6.842694879E-1
1.832140333E0,-2.255977631E0,2.193967342E0,6.468238235E-1
1.842185333E0,-1.567885160E0,1.536037803E0,5.464047790E-1
1.852230333E0,-6.795246005E-1,6.558707952E-1,4.282783568E-1
1.862274333E0,1.237104461E-1,-1.139708981E-1,2.740426064E-1
1.872319333E0,6.501792669E-1,-7.451765537E-1,1.105521917E-1
1.882363333E0,8.508408070E-1,-1.270532966E0,5.320122465E-2
1.892408333E0,8.004143834E-1,-1.648650169E0,4.675717279E-2
1.902452333E0,5.744936466E-1,-1.843833566E0,4.207140580E-2
1.912497333E0,2.602350414E-1,-1.802012920E0,2.840645984E-2
1.922542333E0,-6.312979758E-2,-1.486137033E0,1.729165763E-2
1.932586333E0,-3.873275816E-1,-9.496344924E-1,3.420850262E-3
1.942631333E0,-7.044460177E-1,-3.268752694E-1,-9.709166363E-3
1.952675333E0,-9.926874042E-1,2.565410435E-1,1.686305553E-2
1.962720333E0,-1.231129289E0,6.784979701E-1,1.335262209E-1
1.972764333E0,-1.389512300E0,9.149541855E-1,2.861543894E-1
1.982809333E0,-1.468394399E0,1.030940056E0,3.798807859E-1
1.992853333E0,-1.479706526E0,1.104148149E0,3.921680748E-1
2.002898333E0,-1.422065139E0,1.139163256E0,3.554950356E-1
2.012943333E0,-1.314892292E0,1.128441691E0,2.805640697E-1
2.022987333E0,-1.167972207E0,1.078712702E0,1.878438294E-1
2.033032333E0,-8.678283691E-1,7.943078279E-1,9.784522653E-2
2.043076333E0,-1.429843158E-1,-1.092366427E-1,6.186245009E-2
2.053121333E0,4.711174667E-1,-8.467730284E-1,-2.199037187E-2
2.063165333E0,6.662940383E-1,-1.129954219E0,-2.136652321E-1
2.073210333E0,5.044130087E-1,-1.107663512E0,-4.021102190E-1
2.083254333E0,1.002126411E-1,-9.259343743E-1,-4.951747358E-1
2.093299333E0,-5.072413683E-1,-5.097749829E-1,-4.934974909E-1
2.103344333E0,-1.216138124E0,1.798621863E-1,-4.579145908E-1
2.113388333E0,-1.644984841E0,7.187435031E-1,-4.297141135E-1
2.123433333E0,-1.569223523E0,8.107118607E-1,-3.466504514E-1
2.133477333E0,-1.215694666E0,6.539629698E-1,-2.744574845E-1
2.143522333E0,-8.616834283E-1,4.971264303E-1,-3.005348742E-1
2.153566333E0,-6.205147505E-1,4.556306601E-1,-3.948674798E-1
2.163611000E0,-5.034120679E-1,5.963875055E-1,-4.593209624E-1
2.173655000E0,-4.847156703E-1,8.386120796E-1,-4.364009798E-1
2.183700000E0,-5.076575875E-1,1.008725882E0,-3.762296438E-1
2.193745000E0,-5.207291842E-1,8.943617344E-1,-3.246873617E-1
2.203789000E0,-5.148729086E-1,4.441505671E-1,-2.861548364E-1
2.213834000E0,-5.034777522E-1,1.794680767E-2,-2.449938357E-1
2.223878000E0,-4.819757044E-1,-3.348378837E-2,-2.150722444E-1
2.233923000E0,-4.095763266E-1,2.044302374E-1,-1.998661309E-1
2.243967000E0,-2.904755473E-1,5.106263161E-1,-1.882488430E-1
2.254012000E0,-1.485391855E-1,7.590484023E-1,-1.875159442E-1
2.264057000E0,-2.710867859E-2,8.708853722E-1,-1.900913864E-1
2.274101000E0,2.800197713E-2,7.640180588E-1,-1.921548098E-1
2.284146000E0,1.800345071E-2,3.841946721E-1,-1.823041439E-1
2.294190000E0,7.397677749E-3,-8.782695234E-2,-1.534469277E-1
2.304235000E0,8.023129404E-2,-3.657352924E-1,-9.417665005E-2
2.314279000E0,2.472045720E-1,-3.812495470E-1,1.067840960E-3
2.324324000E0,4.372150898E-1,-4.097134173E-1,1.037095338E-1
2.334368000E0,5.757466555E-1,-5.173389316E-1,1.572747529E-1
2.344413000E0,6.775947809E-1,-6.689460278E-1,1.310860366E-1
2.354458000E0,8.014996648E-1,-8.546309471E-1,9.513761848E-2
2.364502000E0,9.706696868E-1,-1.020804524E0,8.813223988E-2
2.374547000E0,1.144349337E0,-1.154429197E0,1.028781682E-1
2.384591000E0,1.288684130E0,-1.251584649E0,1.251623631E-1
2.394636000E0,1.414464474E0,-1.290187240E0,1.509801000E-1
2.404680000E0,1.540592074E0,-1.276587486E0,1.993944794E-1
2.414725000E0,1.654524803E0,-1.177431107E0,3.140504956E-1
2.424769000E0,1.726798296E0,-1.008188248E0,4.816594720E-1
2.434814000E0,1.766367555E0,-7.201834321E-1,6.430803537E-1
2.444859000E0,1.775333047E0,-3.253697455E-1,7.487242222E-1
2.454903000E0,1.767577291E0,1.502183676E-1,7.574082613E-1
2.464948000E0,1.784716368E0,6.466515064E-1,6.717495322E-1
2.474992000E0,1.928802133E0,1.052079797E0,5.183600187E-1
2.485037000E0,2.288222551E0,1.259832382E0,3.460835218E-1
2.495081000E0,2.772364140E0,1.205044746E0,1.617546678E-1
2.505126000E0,3.172330379E0,9.901778102E-1,-3.715150803E-2
2.515171000E0,3.319862843E0,7.927648425E-1,-2.537251115E-1
2.525215000E0,3.201019287E0,6.422107816E-1,-4.536989033E-1
2.535260000E0,2.853073120E0,5.436258316E-1,-6.139029264E-1
2.545304000E0,2.349255085E0,4.607805014E-1,-7.043763995E-1
2.555349000E0,1.799851418E0,3.732138872E-1,-6.684964299E-1
2.565393000E0,1.296373010E0,2.367010862E-1,-5.187266469E-1
2.575438000E0,9.126709104E-1,-9.683117270E-3,-3.220876455E-1
2.585482000E0,6.665811539E-1,-3.571163118E-1,-1.407038718E-1
2.595527000E0,5.172177553E-1,-7.576270103E-1,-3.426172538E-3
2.605572000E0,4.318949282E-1,-1.169151664E0,5.744330585E-2
2.615616000E0,3.819491863E-1,-1.516133547E0,4.393282160E-2
2.625661000E0,3.447628319E-1,-1.743950248E0,-1.005394384E-2
2.635705000E0,3.032065928E-1,-1.842277408E0,-5.521423370E-2
