"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780480236266873E9,"2026-06-03 18:50:36.267 UTC+09:00"
"PAUSE",1.325070033333032E1,1.780480249517323E9,"2026-06-03 18:50:49.517 UTC+09:00"
