"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703627167004E9,"2026-05-25 19:07:07.167 UTC+09:00"
"PAUSE",1.467155070829904E1,1.779703641838315E9,"2026-05-25 19:07:21.838 UTC+09:00"
