"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.341980934E-3,3.670625028E1,1.370963233E2,2.352406282E1,NaN,NaN,2.459501400E1,3.122118863E1
8.114933968E-3,3.670625024E1,1.370963463E2,2.080689014E1,NaN,NaN,1.548164913E1,3.000000000E1
3.968501091E-2,3.670625028E1,1.370963460E2,2.080348362E1,NaN,NaN,1.548072141E1,3.000009638E1
6.015800953E0,3.670625061E1,1.370963383E2,2.080689014E1,NaN,NaN,1.466362243E1,3.000000000E1
