"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.415056229E-3,3.670625022E1,1.370963616E2,2.244317205E1,NaN,NaN,3.429501400E1,3.377675953E1
1.739799976E-2,3.670625021E1,1.370963617E2,2.080689014E1,NaN,NaN,1.726518266E1,3.000000000E1
3.708410263E-2,3.670625026E1,1.370963614E2,2.080348362E1,NaN,NaN,1.726398015E1,3.000004851E1
6.021156073E0,3.670625023E1,1.370963616E2,2.080689014E1,NaN,NaN,1.501470459E1,3.000000000E1
1.202734911E1,3.670625022E1,1.370963616E2,2.080689014E1,NaN,NaN,1.475497463E1,3.000000000E1
1.803517509E1,3.670625021E1,1.370963617E2,2.080689014E1,NaN,NaN,1.463966721E1,3.000000000E1
