"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
-6.192083238E-4,9.418874445E-1,2.914667943E-1,-4.606471418E-3,1.669550045E-1,3.925803421E1,3.340968713E1,-6.084855052E0,1.827554104E1
9.426791687E-3,9.421066503E-1,2.905691823E-1,-3.672360278E-3,1.673055398E-1,3.918319048E1,3.331573927E1,-5.978034064E0,1.834977760E1
1.947279167E-2,9.423346226E-1,2.896338173E-1,-2.741778936E-3,1.676609642E-1,3.910520760E1,3.321744461E1,-5.870934181E0,1.842451489E1
2.951879168E-2,9.425461155E-1,2.887489548E-1,-1.922012196E-3,1.680094343E-1,3.903272801E1,3.312362949E1,-5.776501805E0,1.849452959E1
3.956379168E-2,9.427406653E-1,2.879151953E-1,-1.257409078E-3,1.683545327E-1,3.896594047E1,3.303357661E1,-5.699696431E0,1.855886679E1
4.960979166E-2,9.429312534E-1,2.870967667E-1,-7.260426859E-4,1.686881672E-1,3.890040614E1,3.294338159E1,-5.637190124E0,1.861755829E1
5.965579167E-2,9.431287535E-1,2.862864514E-1,-3.031412079E-4,1.689622060E-1,3.883238289E1,3.285278296E1,-5.584576097E0,1.866605394E1
6.970179168E-2,9.433364110E-1,2.854937429E-1,7.484226624E-5,1.691444068E-1,3.876073746E1,3.276407434E1,-5.534099074E0,1.870269104E1
7.974679169E-2,9.435477353E-1,2.847251635E-1,4.679353856E-4,1.692599735E-1,3.868769596E1,3.267886539E1,-5.480219911E0,1.873212771E1
8.979279167E-2,9.437464156E-1,2.839900171E-1,9.162935601E-4,1.693853182E-1,3.861890354E1,3.259854560E1,-5.421275207E0,1.876412326E1
9.983879168E-2,9.439434521E-1,2.832691585E-1,1.379656013E-3,1.694919919E-1,3.855056366E1,3.252032745E1,-5.360334708E0,1.879434356E1
1.098847917E-1,9.441369904E-1,2.825538738E-1,1.821112641E-3,1.696033438E-1,3.848332343E1,3.244244246E1,-5.302003410E0,1.882430573E1
1.199297917E-1,9.443159460E-1,2.818629605E-1,2.155042121E-3,1.697528808E-1,3.842104892E1,3.236553081E1,-5.257042539E0,1.885504069E1
1.299757917E-1,9.444862614E-1,2.812091365E-1,2.307339758E-3,1.698877086E-1,3.836169072E1,3.229008318E1,-5.232038978E0,1.887829475E1
1.400217917E-1,9.446513506E-1,2.806002093E-1,2.275023662E-3,1.699773550E-1,3.830406948E1,3.221709164E1,-5.226498573E0,1.889055750E1
1.500667917E-1,9.448056923E-1,2.800788317E-1,2.147950914E-3,1.699804738E-1,3.825012386E1,3.215328132E1,-5.230176113E0,1.888974915E1
1.601127917E-1,9.449529956E-1,2.795280251E-1,2.091252866E-3,1.700692772E-1,3.819856996E1,3.208678243E1,-5.228387602E0,1.890087299E1
1.701587917E-1,9.451112991E-1,2.789254411E-1,2.185293022E-3,1.701781004E-1,3.814309134E1,3.201661288E1,-5.209822782E0,1.891911378E1
1.802047917E-1,9.453397772E-1,2.780527168E-1,2.977032108E-3,1.703244764E-1,3.806288230E1,3.192613551E1,-5.111243426E0,1.896416869E1
1.902497917E-1,9.456965081E-1,2.767832116E-1,4.313466527E-3,1.703835663E-1,3.793732257E1,3.179861398E1,-4.942741962E0,1.901779872E1
2.002957917E-1,9.461274597E-1,2.752919613E-1,5.866820239E-3,1.703604277E-1,3.778510326E1,3.164931402E1,-4.743559956E0,1.906948574E1
2.103417917E-1,9.465962590E-1,2.736982098E-1,7.344731092E-3,1.702671567E-1,3.761884162E1,3.148728500E1,-4.548252805E0,1.911104182E1
2.203877917E-1,9.470720548E-1,2.721267962E-1,8.558317985E-3,1.700830171E-1,3.744937138E1,3.132396117E1,-4.379231083E0,1.913387877E1
2.304327917E-1,9.475322984E-1,2.706782722E-1,9.470165053E-3,1.697827630E-1,3.728473403E1,3.117048786E1,-4.241838456E0,1.913371578E1
2.404787917E-1,9.479480771E-1,2.694109375E-1,1.013060617E-2,1.694388025E-1,3.713539744E1,3.103419947E1,-4.134082206E0,1.912009077E1
2.505247917E-1,9.483128159E-1,2.683302818E-1,1.056388631E-2,1.690860334E-1,3.700391432E1,3.091596953E1,-4.054542450E0,1.909776247E1
2.605707917E-1,9.486334270E-1,2.674258947E-1,1.083158202E-2,1.687027078E-1,3.688796517E1,3.081569179E1,-3.995638913E0,1.906625752E1
