"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704792410845E9,"2026-05-25 19:26:32.411 UTC+09:00"
"PAUSE",8.813663208333310E0,1.779704801224349E9,"2026-05-25 19:26:41.224 UTC+09:00"
