"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703787160565E9,"2026-05-25 19:09:47.161 UTC+09:00"
"PAUSE",9.225766958319582E0,1.779703796386178E9,"2026-05-25 19:09:56.386 UTC+09:00"
