"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704730542120E9,"2026-05-25 19:25:30.542 UTC+09:00"
"PAUSE",7.985743208322674E0,1.779704738527720E9,"2026-05-25 19:25:38.528 UTC+09:00"
