"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.563565833E-1,-1.368872225E-1,2.036029249E-1,-1.137316972E-2
7.664015833E-1,-1.765271723E-1,2.210236192E-1,-1.148517244E-2
7.764455833E-1,-1.980228871E-1,1.994815767E-1,-7.061396260E-3
7.864895833E-1,-2.062942535E-1,1.456607878E-1,1.227543503E-2
7.965345833E-1,-2.022515833E-1,8.459077030E-2,3.892914951E-2
8.065785833E-1,-1.747636199E-1,6.337727606E-2,7.122082263E-2
8.166225834E-1,-1.374663115E-1,4.404538870E-2,1.005012169E-1
8.266675833E-1,-8.697503060E-2,1.571524329E-2,1.152623072E-1
8.367115834E-1,-2.856764570E-2,-2.220097929E-2,1.214882508E-1
8.467555834E-1,2.710349299E-2,-6.889966875E-2,1.244832128E-1
8.568005834E-1,7.052233815E-2,-1.048816368E-1,1.225151420E-1
8.668445834E-1,9.253944457E-2,-1.219915226E-1,1.166430637E-1
8.768885834E-1,9.289631248E-2,-1.227795556E-1,1.080506444E-1
8.869335834E-1,7.390751690E-2,-1.099512801E-1,9.800328314E-2
8.969775834E-1,3.430898115E-2,-8.303524554E-2,8.398333937E-2
9.070215833E-1,-1.353567932E-2,-4.602221772E-2,6.889244914E-2
9.170665834E-1,-7.127034664E-2,8.403630927E-4,4.695279151E-2
9.271105833E-1,-1.270644069E-1,3.363878280E-2,2.370808274E-2
9.371555833E-1,-1.704438478E-1,4.031319916E-2,-4.478280898E-3
9.471995833E-1,-2.047335207E-1,3.362203762E-2,-2.828615531E-2
9.572435833E-1,-2.293115705E-1,2.624614537E-2,-4.440680146E-2
9.672885833E-1,-2.437337488E-1,2.407977358E-2,-5.725550279E-2
9.773325833E-1,-2.473942637E-1,1.544234250E-2,-6.630812585E-2
9.873765833E-1,-2.471943051E-1,7.039923221E-3,-7.447770238E-2
9.974215833E-1,-2.359949201E-1,-3.252394730E-3,-8.638096601E-2
1.007465583E0,-2.147537917E-1,-4.874926060E-3,-9.970755875E-2
1.017509583E0,-1.900127530E-1,-3.571398556E-4,-1.054141819E-1
1.027554583E0,-1.652488559E-1,1.121182553E-2,-1.026995257E-1
1.037598583E0,-1.468661278E-1,1.447366551E-2,-9.581099451E-2
1.047642583E0,-1.322455704E-1,5.663481075E-3,-7.814507186E-2
1.057687583E0,-1.095631644E-1,-8.882704191E-3,-6.410728395E-2
1.067731583E0,-7.341780514E-2,-1.899090223E-2,-5.549856648E-2
1.077775583E0,-3.423418850E-2,-2.921610884E-2,-5.258134007E-2
1.087820583E0,-1.309140353E-3,-3.721954301E-2,-5.308243260E-2
1.097864583E0,2.159670927E-2,-4.486254975E-2,-4.683998227E-2
1.107909583E0,3.162081540E-2,-5.062736943E-2,-4.362578318E-2
