"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.877703333E-1,-5.542123727E0,-8.072029753E0,6.027411855E-1
8.978143333E-1,-5.424611065E0,-8.143755793E0,6.992395031E-1
9.078583333E-1,-5.306510757E0,-8.213156396E0,7.881115530E-1
9.179033333E-1,-5.193611548E0,-8.277885073E0,8.597340976E-1
9.279473333E-1,-5.090426903E0,-8.336902775E0,9.053850643E-1
9.379913333E-1,-5.000382705E0,-8.389968011E0,9.169169430E-1
9.480353333E-1,-4.923871304E0,-8.441243999E0,8.584868134E-1
9.580793334E-1,-4.856823036E0,-8.495345947E0,6.902558409E-1
9.681243333E-1,-4.794273324E0,-8.546219062E0,4.616994004E-1
9.781683334E-1,-4.735266732E0,-8.588340649E0,2.318518764E-1
9.882123334E-1,-4.681453637E0,-8.620876896E0,2.430174317E-2
9.982563333E-1,-4.630689572E0,-8.646905776E0,-1.543437804E-1
1.008300333E0,-4.579214486E0,-8.670035022E0,-3.120733546E-1
1.018345333E0,-4.522375457E0,-8.693006394E0,-4.646265166E-1
1.028389333E0,-4.456622640E0,-8.717688076E0,-6.136540268E-1
1.038433333E0,-4.382614139E0,-8.745108009E0,-7.428845094E-1
1.048477333E0,-4.305156073E0,-8.775168545E0,-8.355485518E-1
1.058522333E0,-4.229756520E0,-8.806599668E0,-8.882747957E-1
1.068566333E0,-4.158935044E0,-8.838027867E0,-9.102865659E-1
1.078611333E0,-4.091568395E0,-8.868588924E0,-9.183171319E-1
1.088655333E0,-4.023212105E0,-8.898926033E0,-9.268088970E-1
1.098699333E0,-3.950317207E0,-8.929849618E0,-9.428010318E-1
1.108744333E0,-3.875522840E0,-8.960104281E0,-9.658829887E-1
1.118788333E0,-3.804347900E0,-8.987829439E0,-9.909247130E-1
1.128832333E0,-3.740650087E0,-9.011895994E0,-1.014582036E0
1.138876333E0,-3.684834028E0,-9.032058363E0,-1.039247346E0
1.148920333E0,-3.633617097E0,-9.049271981E0,-1.069389669E0
1.158965333E0,-3.583433368E0,-9.064781721E0,-1.106729184E0
1.169009333E0,-3.534119998E0,-9.078648977E0,-1.150750532E0
1.179053333E0,-3.490240445E0,-9.089376864E0,-1.198969815E0
1.189097333E0,-3.455921967E0,-9.096142092E0,-1.246157869E0
1.199142333E0,-3.430962835E0,-9.099744562E0,-1.288120851E0
1.209186333E0,-3.410799004E0,-9.102077016E0,-1.324680128E0
1.219230333E0,-3.389466607E0,-9.104649206E0,-1.361248176E0
1.229274333E0,-3.362974627E0,-9.107411431E0,-1.407676969E0
1.239318333E0,-3.328479563E0,-9.109532801E0,-1.474359055E0
1.249363333E0,-3.285235018E0,-9.110397019E0,-1.563326780E0
1.259407333E0,-3.237287265E0,-9.109079057E0,-1.667560708E0
1.269451333E0,-3.190440542E0,-9.105250885E0,-1.775279430E0
1.279495333E0,-3.146944567E0,-9.100424008E0,-1.874875493E0
1.289539333E0,-3.109038822E0,-9.095891832E0,-1.958239831E0
1.299584333E0,-3.078840000E0,-9.092233813E0,-2.021905338E0
1.309628333E0,-3.057652321E0,-9.089027785E0,-2.067950992E0
1.319672333E0,-3.044717988E0,-9.085368598E0,-2.102823055E0
1.329716333E0,-3.036105624E0,-9.080566864E0,-2.135758521E0
1.339761333E0,-3.026826970E0,-9.074548325E0,-2.174164349E0
1.349805333E0,-3.013903454E0,-9.068214036E0,-2.218101058E0
1.359849333E0,-2.997514001E0,-9.062636377E0,-2.262668682E0
1.369893333E0,-2.978587148E0,-9.058337504E0,-2.304486214E0
1.379937333E0,-2.956495491E0,-9.055419744E0,-2.344064848E0
1.389982333E0,-2.929804413E0,-9.053686629E0,-2.383926340E0
1.400026333E0,-2.898582328E0,-9.053145761E0,-2.423811952E0
1.410070333E0,-2.868777316E0,-9.054829175E0,-2.452804055E0
1.420114333E0,-2.853385397E0,-9.059818019E0,-2.452340956E0
1.430159333E0,-2.866367386E0,-9.067408875E0,-2.408756249E0
1.440203333E0,-2.910514741E0,-9.075774486E0,-2.322784491E0
1.450247333E0,-2.973670517E0,-9.084380418E0,-2.206225217E0
1.460291333E0,-3.041178961E0,-9.098244166E0,-2.051651879E0
1.470335333E0,-3.130225916E0,-9.119100015E0,-1.811014542E0
1.480380333E0,-3.249090162E0,-9.131326543E0,-1.516048387E0
1.490424333E0,-3.391464016E0,-9.121320203E0,-1.239206260E0
1.500468333E0,-3.552601000E0,-9.089097952E0,-1.001717577E0
1.510512333E0,-3.733732538E0,-9.036801624E0,-7.947157639E-1
1.520556333E0,-3.926745619E0,-8.969090282E0,-6.100709627E-1
1.530601333E0,-4.125771098E0,-8.889237782E0,-4.422121656E-1
1.540645333E0,-4.326159564E0,-8.799978865E0,-2.842696066E-1
1.550689333E0,-4.514841904E0,-8.708398604E0,-1.268856486E-1
1.560733333E0,-4.678595810E0,-8.622387232E0,3.575152103E-2
1.570778333E0,-4.814130760E0,-8.545158377E0,2.012869271E-1
1.580822333E0,-4.929846573E0,-8.473724697E0,3.587257667E-1
1.590866333E0,-5.040092901E0,-8.401627944E0,4.961848165E-1
1.600910333E0,-5.151710985E0,-8.326255580E0,6.078308579E-1
1.610954333E0,-5.268657053E0,-8.245367537E0,7.009246706E-1
1.620999333E0,-5.392157264E0,-8.156164754E0,7.985780691E-1
1.631043333E0,-5.515135319E0,-8.062232743E0,9.054206593E-1
1.641087333E0,-5.635954581E0,-7.966151295E0,1.006266711E0
1.651131333E0,-5.755243628E0,-7.869527226E0,1.088043384E0
1.661176333E0,-5.872110758E0,-7.774025822E0,1.148455135E0
1.671220333E0,-5.985971834E0,-7.679788586E0,1.193778292E0
1.681264333E0,-6.094636490E0,-7.587379775E0,1.234165814E0
1.691308333E0,-6.196929435E0,-7.496535094E0,1.279114092E0
1.701352333E0,-6.293469304E0,-7.406104395E0,1.333404028E0
1.711397333E0,-6.385859989E0,-7.314584361E0,1.397761553E0
1.721441333E0,-6.473065948E0,-7.223909833E0,1.466500104E0
1.731485333E0,-6.553304365E0,-7.137471614E0,1.531930448E0
1.741529333E0,-6.626020923E0,-7.057736642E0,1.587545508E0
1.751573333E0,-6.692092706E0,-6.984697902E0,1.632783223E0
1.761618333E0,-6.751387566E0,-6.918182316E0,1.671408760E0
1.771662333E0,-6.803566949E0,-6.858478151E0,1.705534280E0
1.781706333E0,-6.847035150E0,-6.807751801E0,1.734576377E0
1.791750333E0,-6.880204650E0,-6.768120543E0,1.758245614E0
1.801795333E0,-6.902142234E0,-6.741095881E0,1.775997468E0
1.811839333E0,-6.913792226E0,-6.727712774E0,1.781422515E0
1.821883333E0,-6.918669974E0,-6.726382533E0,1.767447085E0
1.831927333E0,-6.919059398E0,-6.734538229E0,1.734568776E0
1.841972333E0,-6.911448662E0,-6.752748213E0,1.693625402E0
1.852016333E0,-6.886381064E0,-6.785627106E0,1.664072405E0
1.862060333E0,-6.839605678E0,-6.834799266E0,1.655725505E0
1.872104333E0,-6.776399031E0,-6.895782217E0,1.662739678E0
1.882148333E0,-6.700712087E0,-6.965127856E0,1.680337020E0
1.892193333E0,-6.614586693E0,-7.040312524E0,1.708020955E0
1.902237333E0,-6.518848477E0,-7.119590828E0,1.747037817E0
1.912281333E0,-6.412344952E0,-7.200577104E0,1.808208463E0
1.922325333E0,-6.299641625E0,-7.278632755E0,1.890010864E0
1.932370333E0,-6.190629060E0,-7.356031179E0,1.949623520E0
1.942414333E0,-6.094931774E0,-7.441676517E0,1.925972264E0
1.952458333E0,-6.021584886E0,-7.536316041E0,1.783413053E0
1.962502333E0,-5.977098100E0,-7.624952813E0,1.539646872E0
1.972546333E0,-5.955947551E0,-7.693433064E0,1.254542922E0
1.982591333E0,-5.950965139E0,-7.736653928E0,9.830144535E-1
1.992635333E0,-5.961262085E0,-7.754679725E0,7.512845463E-1
2.002679333E0,-5.988749261E0,-7.751062637E0,5.404145079E-1
2.012723333E0,-6.021263874E0,-7.737728646E0,3.287413910E-1
2.022767333E0,-6.039928186E0,-7.728793516E0,1.452269297E-1
2.032812333E0,-6.041515705E0,-7.728917477E0,3.475238662E-3
2.042856333E0,-6.038167005E0,-7.730683921E0,-1.146645019E-1
2.052900333E0,-6.047800877E0,-7.721364044E0,-2.018527000E-1
2.062944333E0,-6.085491444E0,-7.690435197E0,-2.451362570E-1
2.072988625E0,-6.143628556E0,-7.644626355E0,-2.271518845E-1
2.083032625E0,-6.198461405E0,-7.601822398E0,-1.656945599E-1
2.093076625E0,-6.245988159E0,-7.562430875E0,-1.827018810E-1
2.103120625E0,-6.272705256E0,-7.537748609E0,-2.676492433E-1
2.113164625E0,-6.253327584E0,-7.552019323E0,-3.146302689E-1
2.123209625E0,-6.183047560E0,-7.610376289E0,-2.970178523E-1
2.133253625E0,-6.078387662E0,-7.696247914E0,-2.389330373E-1
2.143297625E0,-5.958203407E0,-7.791830009E0,-1.525917993E-1
2.153341625E0,-5.833913822E0,-7.886702837E0,-3.831517335E-2
2.163386625E0,-5.710467989E0,-7.976002684E0,1.000943095E-1
2.173430625E0,-5.589472725E0,-8.057844992E0,2.550204269E-1
2.183474625E0,-5.469531714E0,-8.133131402E0,4.153512994E-1
2.193518625E0,-5.348114866E0,-8.204528829E0,5.652202240E-1
2.203563625E0,-5.225108745E0,-8.274439893E0,6.840868092E-1
2.213607625E0,-5.102761019E0,-8.344077893E0,7.578030954E-1
2.223651625E0,-4.986681510E0,-8.411913196E0,7.802654667E-1
2.233695625E0,-4.884877977E0,-8.474156222E0,7.501551566E-1
2.243739625E0,-4.803702251E0,-8.526942546E0,6.721534460E-1
2.253784625E0,-4.745347916E0,-8.567759035E0,5.579191347E-1
2.263828625E0,-4.704421792E0,-8.598070416E0,4.215076866E-1
2.273872625E0,-4.672550081E0,-8.621307836E0,2.764215286E-1
2.283916625E0,-4.642802664E0,-8.640756260E0,1.334170342E-1
2.293961625E0,-4.609936927E0,-8.659363854E0,9.372791190E-4
2.304005625E0,-4.571480374E0,-8.678959628E0,-1.155543568E-1
2.314049625E0,-4.527009375E0,-8.700370962E0,-2.140672777E-1
2.324093625E0,-4.476359039E0,-8.724120598E0,-2.967208869E-1
2.334137625E0,-4.420410833E0,-8.749933131E0,-3.670825707E-1
2.344182625E0,-4.360250001E0,-8.777227934E0,-4.296283728E-1
2.354226625E0,-4.295613125E0,-8.805880460E0,-4.901945268E-1
2.364270625E0,-4.226224217E0,-8.835611213E0,-5.541981859E-1
2.374314625E0,-4.154115184E0,-8.864999319E0,-6.254836750E-1
2.384359625E0,-4.081615557E0,-8.892490003E0,-7.072131318E-1
2.394403625E0,-4.010257891E0,-8.916859444E0,-8.022175954E-1
2.404447625E0,-3.940855535E0,-8.936638820E0,-9.177554338E-1
2.414491625E0,-3.863801804E0,-8.951807667E0,-1.082716205E0
2.424535625E0,-3.769601990E0,-8.962551341E0,-1.303409127E0
2.434580625E0,-3.657791533E0,-8.968816048E0,-1.554667930E0
2.444624625E0,-3.536094018E0,-8.974599529E0,-1.785702530E0
2.454668625E0,-3.437801738E0,-8.992817114E0,-1.883312879E0
2.464712625E0,-3.344753534E0,-9.013408669E0,-1.951193936E0
2.474757625E0,-3.239201351E0,-9.024607256E0,-2.073683164E0
2.484801625E0,-3.133613792E0,-9.029939917E0,-2.208341617E0
2.494845625E0,-3.042662399E0,-9.036848987E0,-2.305137594E0
2.504889625E0,-2.970867070E0,-9.049673100E0,-2.348074283E0
2.514934625E0,-2.908462953E0,-9.070758160E0,-2.344840188E0
2.524978625E0,-2.843533716E0,-9.099076810E0,-2.314563744E0
2.535022625E0,-2.772520744E0,-9.129417427E0,-2.280998680E0
2.545066625E0,-2.700520177E0,-9.157150186E0,-2.256081794E0
2.555110625E0,-2.635171402E0,-9.181490976E0,-2.234325620E0
2.565155625E0,-2.580231549E0,-9.203016331E0,-2.209754012E0
2.575199625E0,-2.532565632E0,-9.222972293E0,-2.181516345E0
2.585243625E0,-2.487987337E0,-9.241859384E0,-2.152688403E0
2.595287625E0,-2.445348417E0,-9.258841453E0,-2.128439707E0
2.605332625E0,-2.408805658E0,-9.272211111E0,-2.111837269E0
2.615376625E0,-2.388285732E0,-9.280049888E0,-2.100690868E0
2.625420625E0,-2.394031206E0,-9.280791900E0,-2.090839333E0
2.635464625E0,-2.430662988E0,-9.273417976E0,-2.081278551E0
2.645509625E0,-2.490034739E0,-9.257988344E0,-2.079778886E0
2.655553625E0,-2.547214953E0,-9.240385301E0,-2.088790615E0
2.665597625E0,-2.630367622E0,-9.253003592E0,-1.923327276E0
2.675641625E0,-2.759222421E0,-9.279110241E0,-1.587735250E0
2.685685625E0,-2.913612303E0,-9.277426243E0,-1.294732590E0
2.695730625E0,-3.095343766E0,-9.246547682E0,-1.075334095E0
2.705774625E0,-3.303348522E0,-9.193449701E0,-8.969336450E-1
2.715818625E0,-3.534792720E0,-9.121486264E0,-7.347292516E-1
2.725862625E0,-3.779665048E0,-9.034200198E0,-5.774587387E-1
