"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.448000417E-1,-5.274298885E-1,-9.790969067E0,-3.079524928E-1
7.548450417E-1,-5.452776006E-1,-9.790546898E0,-2.897571454E-1
7.648890417E-1,-5.630062123E-1,-9.789819505E0,-2.803435485E-1
7.749340417E-1,-5.765504103E-1,-9.788634859E0,-2.938214171E-1
7.849780417E-1,-5.825462183E-1,-9.787100549E0,-3.307605076E-1
7.950230417E-1,-5.829392243E-1,-9.785253414E0,-3.809250863E-1
8.050670417E-1,-5.826079064E-1,-9.783205134E0,-4.307768025E-1
8.151120417E-1,-5.852301268E-1,-9.781124110E0,-4.724700082E-1
8.251560417E-1,-5.900121260E-1,-9.779151844E0,-5.061342560E-1
8.352010417E-1,-5.938332083E-1,-9.777324005E0,-5.361324457E-1
8.452450417E-1,-5.959315913E-1,-9.775453480E0,-5.669929536E-1
8.552900417E-1,-5.969079667E-1,-9.773355500E0,-6.010824035E-1
8.653340416E-1,-5.962696700E-1,-9.771117770E0,-6.370227896E-1
8.753790417E-1,-5.921873633E-1,-9.769147258E0,-6.701845423E-1
8.854230416E-1,-5.826325744E-1,-9.768002958E0,-6.947881640E-1
8.954680417E-1,-5.681318085E-1,-9.767845668E0,-7.088776148E-1
9.055120416E-1,-5.508768578E-1,-9.768221644E0,-7.172574057E-1
9.155570416E-1,-5.319663776E-1,-9.768388875E0,-7.291746160E-1
9.256010416E-1,-5.112506428E-1,-9.767722292E0,-7.525469602E-1
9.356460416E-1,-4.903046007E-1,-9.765692139E0,-7.918187609E-1
9.456900416E-1,-4.720848594E-1,-9.761907821E0,-8.475884805E-1
9.557350416E-1,-4.572679784E-1,-9.756396235E0,-9.163811919E-1
9.657790416E-1,-4.448893132E-1,-9.749481903E0,-9.928686929E-1
9.758240416E-1,-4.356829087E-1,-9.741562434E0,-1.071563152E0
9.858680416E-1,-4.319493154E-1,-9.733043041E0,-1.147772472E0
9.959130416E-1,-4.352358891E-1,-9.724356417E0,-1.218019240E0
1.005957042E0,-4.447424385E-1,-9.715951045E0,-1.280085022E0
1.016002042E0,-4.574522023E-1,-9.708094726E0,-1.334074411E0
1.026046042E0,-4.699003397E-1,-9.700817281E0,-1.381817073E0
1.036091042E0,-4.807214162E-1,-9.693837460E0,-1.426364962E0
1.046135042E0,-4.888689265E-1,-9.686895061E0,-1.470092487E0
1.056180042E0,-4.920084428E-1,-9.679908223E0,-1.514398887E0
1.066224042E0,-4.876356025E-1,-9.672903258E0,-1.559887155E0
1.076269042E0,-4.766579302E-1,-9.665726970E0,-1.607056351E0
1.086313042E0,-4.625038677E-1,-9.658086998E0,-1.656365482E0
1.096358042E0,-4.494195532E-1,-9.650312541E0,-1.704583084E0
1.106402042E0,-4.416561319E-1,-9.642890670E0,-1.748060934E0
1.116447042E0,-4.427859967E-1,-9.635069434E0,-1.790387904E0
1.126491042E0,-4.468462667E-1,-9.626126702E0,-1.836876923E0
1.136536042E0,-4.407766376E-1,-9.616622053E0,-1.887435458E0
1.146580042E0,-4.144824762E-1,-9.608347659E0,-1.934940869E0
1.156625042E0,-3.651681558E-1,-9.602627327E0,-1.972884914E0
1.166669042E0,-2.970499938E-1,-9.599662204E0,-1.998590589E0
1.176714042E0,-2.197959410E-1,-9.599400249E0,-2.009800140E0
1.186758042E0,-1.464589929E-1,-9.602341983E0,-2.002425193E0
1.196803042E0,-9.053529960E-2,-9.609157498E0,-1.972822933E0
1.206847042E0,-6.085292804E-2,-9.619816972E0,-1.921331621E0
1.216892042E0,-5.976558347E-2,-9.633235162E0,-1.852912474E0
1.226936042E0,-8.328142659E-2,-9.648302268E0,-1.771840975E0
1.236981042E0,-1.217321594E-1,-9.663695648E0,-1.683526091E0
1.247025042E0,-1.705427240E-1,-9.678721823E0,-1.590392371E0
1.257070042E0,-2.294579898E-1,-9.693159183E0,-1.492012091E0
1.267114042E0,-2.941780242E-1,-9.706832896E0,-1.388140544E0
1.277159042E0,-3.609591838E-1,-9.719711389E0,-1.277892901E0
1.287203042E0,-4.280430099E-1,-9.731716307E0,-1.160421023E0
1.297248042E0,-4.933456279E-1,-9.742606162E0,-1.036496523E0
1.307292042E0,-5.583337388E-1,-9.751836576E0,-9.088669351E-1
1.317337042E0,-6.202050280E-1,-9.759166646E0,-7.810963561E-1
1.327381042E0,-6.755836420E-1,-9.764660690E0,-6.565485431E-1
1.337426042E0,-7.208873572E-1,-9.768828000E0,-5.351822001E-1
1.347470042E0,-7.510497806E-1,-9.772781888E0,-4.059295346E-1
1.357515042E0,-7.654748616E-1,-9.776969664E0,-2.470226602E-1
1.367559042E0,-7.676525840E-1,-9.779837138E0,-4.024014526E-2
1.377603875E0,-7.573729596E-1,-9.778388198E0,2.135563041E-1
1.387647875E0,-7.322107096E-1,-9.770016739E0,4.967489267E-1
1.397692875E0,-6.901530761E-1,-9.753933973E0,7.877375505E-1
1.407736875E0,-6.316457632E-1,-9.731441488E0,1.065916350E0
1.417781875E0,-5.597350240E-1,-9.705563466E0,1.313321473E0
1.427825875E0,-4.824203978E-1,-9.680011134E0,1.516826212E0
1.437870875E0,-4.127138762E-1,-9.657157291E0,1.674835229E0
1.447914875E0,-3.585633968E-1,-9.637790728E0,1.794581235E0
1.457959875E0,-3.185246241E-1,-9.621026176E0,1.889581532E0
1.468003875E0,-2.839322771E-1,-9.604641693E0,1.976447037E0
1.478048875E0,-2.453001618E-1,-9.585878563E0,2.070474212E0
1.488092875E0,-1.982453516E-1,-9.562690845E0,2.179847112E0
1.498137875E0,-1.444064466E-1,-9.534582109E0,2.303693332E0
1.508181875E0,-8.839581253E-2,-9.502552232E0,2.435114181E0
1.518226875E0,-3.756886763E-2,-9.468804442E0,2.564451960E0
1.528270875E0,1.059980356E-3,-9.436300939E0,2.681848263E0
1.538315875E0,2.407644721E-2,-9.408200390E0,2.778720547E0
1.548359875E0,3.293147287E-2,-9.387319983E0,2.848376673E0
1.558404875E0,3.186988575E-2,-9.375469431E0,2.887154237E0
1.568448875E0,2.471906077E-2,-9.373098970E0,2.894909692E0
1.578493875E0,1.448223755E-2,-9.379694045E0,2.873540457E0
1.588537875E0,4.096114464E-3,-9.394224960E0,2.825704971E0
1.598582875E0,-3.917324710E-3,-9.415193076E0,2.755032891E0
1.608626875E0,-7.366258325E-3,-9.440615600E0,2.666611881E0
1.618671875E0,-4.762287629E-3,-9.468141952E0,2.567172377E0
1.628715875E0,2.370722894E-3,-9.494673108E0,2.467245508E0
1.638760875E0,8.722432059E-3,-9.515920721E0,2.383965370E0
1.648804875E0,8.181286526E-3,-9.526044005E0,2.343184403E0
1.658849875E0,-3.390539688E-3,-9.518851930E0,2.372244334E0
1.668893875E0,-2.510983750E-2,-9.493715919E0,2.470797107E0
1.678938875E0,-5.127748657E-2,-9.457394185E0,2.605991750E0
1.688982875E0,-7.797728023E-2,-9.421139694E0,2.733521570E0
1.699027875E0,-1.035333768E-1,-9.397675402E0,2.812305199E0
1.709071875E0,-1.333998945E-1,-9.387436928E0,2.845056916E0
1.719116875E0,-1.643598233E-1,-9.380038446E0,2.867744405E0
1.729160875E0,-1.836892747E-1,-9.365622135E0,2.913326667E0
1.739205875E0,-1.904420231E-1,-9.340841051E0,2.991406292E0
1.749249875E0,-1.987929434E-1,-9.310809751E0,3.083085663E0
1.759294875E0,-2.130781846E-1,-9.286047378E0,3.155949279E0
1.769338875E0,-2.209274869E-1,-9.277504011E0,3.180442681E0
1.779383875E0,-2.145260466E-1,-9.290714625E0,3.142084069E0
