"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.483959198E-3,3.670588260E1,1.370963779E2,2.245480657E1,NaN,NaN,4.699501400E1,4.672575387E1
8.759021759E-3,3.670588266E1,1.370963780E2,1.911314143E1,NaN,NaN,1.846065088E1,3.000000000E1
3.860795498E-2,3.670588213E1,1.370963775E2,1.911089457E1,NaN,NaN,1.845951082E1,3.000006667E1
6.018785954E0,3.670588242E1,1.370963777E2,1.911314143E1,NaN,NaN,1.467200095E1,3.000000000E1
