"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.301208326E-3,1.036981717E-1,3.470677510E-2,-2.016224340E-2
1.234820831E-2,9.382501990E-2,2.878844738E-2,-1.989454590E-2
2.239420832E-2,8.719028533E-2,2.097952552E-2,-2.264053002E-2
3.244020834E-2,8.383525908E-2,9.110521525E-3,-3.079961985E-2
4.248720832E-2,7.900561392E-2,-6.914783269E-3,-3.585936129E-2
5.253320833E-2,7.063856721E-2,-2.895424888E-2,-4.313247651E-2
6.257920832E-2,5.378555134E-2,-5.055195093E-2,-5.042820424E-2
7.262620833E-2,2.678720653E-2,-6.245041266E-2,-6.129838154E-2
8.267220831E-2,-4.683102481E-3,-4.542908818E-2,-6.443878263E-2
9.271820833E-2,-3.334288299E-2,-5.872924812E-3,-6.715652347E-2
1.027652083E-1,-6.265389919E-2,3.367608041E-2,-6.852352619E-2
1.128112083E-1,-8.404766768E-2,8.093700558E-2,-7.070014626E-2
1.228572083E-1,-1.002974734E-1,1.142848432E-1,-7.526240498E-2
1.329042083E-1,-1.037263349E-1,1.260705888E-1,-7.377751172E-2
1.429502083E-1,-9.870307893E-2,1.153055504E-1,-7.241050899E-2
1.529962083E-1,-8.687607199E-2,8.917598426E-2,-7.180757821E-2
1.630432083E-1,-7.431393862E-2,5.433890969E-2,-6.485992670E-2
1.730892083E-1,-5.733277649E-2,2.449860424E-2,-5.954165757E-2
1.831352083E-1,-5.319395661E-2,-1.226926409E-2,-5.650698766E-2
1.931822083E-1,-5.593099818E-2,-3.845679760E-2,-5.369447172E-2
2.032282083E-1,-6.560572982E-2,-4.600073397E-2,-4.614653811E-2
2.132742083E-1,-7.712884247E-2,-3.396763280E-2,-3.219498694E-2
2.233212083E-1,-8.843849599E-2,-4.123719409E-3,-2.037934214E-2
2.333672083E-1,-9.334991127E-2,4.078144580E-2,-1.413710788E-2
2.434132083E-1,-9.162312001E-2,8.458858728E-2,-1.028138306E-2
2.534602083E-1,-8.433682472E-2,1.120521128E-1,-3.644126235E-3
2.635062083E-1,-7.575878501E-2,1.147480309E-1,4.962411709E-3
2.735522083E-1,-6.885990500E-2,1.074628755E-1,1.610446908E-2
2.835992083E-1,-4.837167636E-2,9.020426124E-2,2.373016439E-2
2.936452083E-1,-3.025679477E-2,3.196118027E-2,3.533130977E-3
3.036912083E-1,-3.072817437E-2,-1.789452881E-2,-3.354869084E-3
3.137382083E-1,-2.889462560E-2,-4.560498148E-2,-3.551309230E-3
3.237842083E-1,-2.895374782E-2,-5.398754776E-2,-8.109309711E-3
3.338302083E-1,-3.879918903E-2,-3.583011404E-2,-1.245665364E-2
3.438772083E-1,-5.261912942E-2,-3.729436779E-3,-1.655845344E-2
3.539232083E-1,-6.958384812E-2,2.323466912E-2,-2.635893598E-2
3.639692083E-1,-8.004394174E-2,4.632400721E-2,-3.537160903E-2
3.740162083E-1,-8.230612427E-2,5.982768536E-2,-4.223147780E-2
3.840628333E-1,-7.294245064E-2,5.579273030E-2,-4.692796245E-2
3.941088333E-1,-6.117575243E-2,4.726234451E-2,-4.584394395E-2
4.041558333E-1,-5.014121160E-2,2.598049119E-2,-4.432301223E-2
4.142018333E-1,-3.911754861E-2,6.522882264E-3,-4.709279910E-2
4.242488333E-1,-3.134591132E-2,-1.326518832E-3,-4.511726648E-2
4.342948333E-1,-2.652229927E-2,7.621794939E-4,-4.147617891E-2
4.443408333E-1,-2.432519197E-2,8.328219876E-3,-3.973367438E-2
4.543868333E-1,-2.160000056E-2,2.280161157E-2,-3.777877614E-2
4.644338333E-1,-1.934004202E-2,3.252747655E-2,-2.944600955E-2
4.744798333E-1,-2.236461267E-2,3.801261634E-2,-1.756222546E-2
4.845258333E-1,-2.996154688E-2,4.073010758E-2,-1.013759803E-2
4.945728333E-1,-3.365091980E-2,4.273611680E-2,-7.585858461E-3
5.046188333E-1,-3.144475445E-2,4.436038062E-2,-4.002308939E-3
5.146648333E-1,-3.326818347E-2,4.391944036E-2,3.208276350E-3
5.247118333E-1,-4.228005558E-2,4.310664535E-2,1.806605235E-2
5.347578333E-1,-4.873422533E-2,4.304272681E-2,2.913441695E-2
5.448038333E-1,-5.430529267E-2,4.802124202E-2,3.490202129E-2
5.548508333E-1,-5.601947382E-2,5.195069686E-2,3.649194166E-2
5.648968333E-1,-5.115787312E-2,5.279066041E-2,3.942594677E-2
5.749428333E-1,-4.544876143E-2,5.509062856E-2,4.711441696E-2
5.849898333E-1,-4.345751554E-2,5.578012019E-2,5.775161460E-2
5.950358333E-1,-4.042314738E-2,5.495837331E-2,6.380712241E-2
6.050818333E-1,-3.569816425E-2,5.884845555E-2,5.868187174E-2
6.151288333E-1,-3.904794157E-2,5.119126290E-2,4.681772739E-2
6.251748333E-1,-4.869471118E-2,4.587798938E-2,2.804563940E-2
6.352208333E-1,-5.930024013E-2,4.582285509E-2,8.761740290E-3
6.452678333E-1,-6.885565817E-2,4.351149872E-2,-4.106920678E-3
6.553138333E-1,-7.426413894E-2,4.629970714E-2,-8.926709183E-3
