"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780480924775660E9,"2026-06-03 19:02:04.776 UTC+09:00"
"PAUSE",1.540477083332371E1,1.780480940180139E9,"2026-06-03 19:02:20.180 UTC+09:00"
