"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.526086807E-3,3.670625022E1,1.370963616E2,2.265244877E1,NaN,NaN,2.709501400E1,3.117355419E1
9.098052979E-3,3.670625021E1,1.370963617E2,2.080689014E1,NaN,NaN,1.607907777E1,3.000000000E1
3.739905357E-2,3.670625025E1,1.370963614E2,2.080348362E1,NaN,NaN,1.607813596E1,3.000005230E1
6.020318031E0,3.670625023E1,1.370963616E2,2.080689014E1,NaN,NaN,1.392534424E1,3.000000000E1
1.202595007E1,3.670625022E1,1.370963616E2,2.080689014E1,NaN,NaN,1.449431325E1,3.000000000E1
