"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.388949394E-3,3.670588268E1,1.370963779E2,1.911314143E1,NaN,NaN,1.593622885E1,3.000000000E1
3.187096119E-2,3.670588277E1,1.370963776E2,1.910948313E1,NaN,NaN,1.593523243E1,3.000007459E1
6.013149977E0,3.670588272E1,1.370963778E2,1.911314143E1,NaN,NaN,1.385676053E1,3.000000000E1
1.201846492E1,3.670588269E1,1.370963779E2,1.911314143E1,NaN,NaN,1.449940794E1,3.000000000E1
