"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779703409126352E9,"2026-05-25 19:03:29.126 UTC+09:00"
"PAUSE",7.739516666624695E0,1.779703416865720E9,"2026-05-25 19:03:36.866 UTC+09:00"
