"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704979578832E9,"2026-05-25 19:29:39.579 UTC+09:00"
"PAUSE",1.411720099998638E1,1.779704993695780E9,"2026-05-25 19:29:53.696 UTC+09:00"
