"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704591870631E9,"2026-05-25 19:23:11.871 UTC+09:00"
"PAUSE",1.682135808333987E1,1.779704608691686E9,"2026-05-25 19:23:28.692 UTC+09:00"
