"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780479222138235E9,"2026-06-03 18:33:42.138 UTC+09:00"
"PAUSE",1.028763712500222E1,1.780479232425695E9,"2026-06-03 18:33:52.426 UTC+09:00"
