"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.063570834E-2,9.405377760E-1,2.861066319E-1,3.908673443E-2,1.788965975E-1,3.971586830E1,3.353202264E1,-1.652748646E0,2.104084106E1
2.068170832E-2,9.404606051E-1,2.862308175E-1,3.969584068E-2,1.789692165E-1,3.974189313E1,3.355930098E1,-1.592355088E0,2.106888865E1
3.072770833E-2,9.403885340E-1,2.863680371E-1,4.032053073E-2,1.789890255E-1,3.976618337E1,3.358855940E1,-1.528806573E0,2.109157211E1
4.077470832E-2,9.403156621E-1,2.865421879E-1,4.097039299E-2,1.789454878E-1,3.979072904E1,3.362281784E1,-1.461238522E0,2.110800141E1
5.082070833E-2,9.402389549E-1,2.867419218E-1,4.168962896E-2,1.788622899E-1,3.981655091E1,3.366163951E1,-1.385444236E0,2.112232251E1
6.086670834E-2,9.401609832E-1,2.869408866E-1,4.244491102E-2,1.787757203E-1,3.984278195E1,3.370117893E1,-1.305656283E0,2.113753390E1
7.091270832E-2,9.400812835E-1,2.871119290E-1,4.321955956E-2,1.787348800E-1,3.986957721E1,3.373783280E1,-1.224735223E0,2.115859868E1
8.095870833E-2,9.400049556E-1,2.872304670E-1,4.400222654E-2,1.787543097E-1,3.989522270E1,3.376845831E1,-1.143857060E0,2.118678075E1
9.100570832E-2,9.399400073E-1,2.872920647E-1,4.475922609E-2,1.788088056E-1,3.991703229E1,3.379185696E1,-1.065690024E0,2.121813486E1
1.010517083E-1,9.398833198E-1,2.873173106E-1,4.552613014E-2,1.788726581E-1,3.993605857E1,3.381124209E1,-9.859899384E-1,2.125094528E1
1.110977083E-1,9.398381383E-1,2.873187331E-1,4.630748003E-2,1.789073871E-1,3.995121679E1,3.382822312E1,-9.032375340E-1,2.128105115E1
1.211437083E-1,9.397999954E-1,2.873308608E-1,4.709622669E-2,1.788821411E-1,3.996400932E1,3.384673080E1,-8.179050882E-1,2.130473897E1
1.311897083E-1,9.397724735E-1,2.873628608E-1,4.785939021E-2,1.787726857E-1,3.997323728E1,3.386713477E1,-7.329124071E-1,2.131819398E1
1.412367083E-1,9.397654350E-1,2.873920791E-1,4.854475065E-2,1.785778409E-1,3.997559694E1,3.388560581E1,-6.533210623E-1,2.131954029E1
1.512827083E-1,9.397975088E-1,2.873774647E-1,4.912739922E-2,1.782729927E-1,3.996484317E1,3.389674912E1,-5.800532744E-1,2.130520482E1
1.613287083E-1,9.398713500E-1,2.872692211E-1,4.965230661E-2,1.779128900E-1,3.994007491E1,3.389562927E1,-5.090357965E-1,2.128282545E1
1.713747083E-1,9.399725025E-1,2.870790545E-1,5.014247446E-2,1.775473926E-1,3.990612185E1,3.388408833E1,-4.397597831E-1,2.125871029E1
1.814207083E-1,9.400841495E-1,2.868442649E-1,5.060272858E-2,1.772050337E-1,3.986861396E1,3.386661893E1,-3.735051894E-1,2.123617768E1
1.914677083E-1,9.401893480E-1,2.865972739E-1,5.107139100E-2,1.769117759E-1,3.983324144E1,3.384786983E1,-3.077548611E-1,2.121939806E1
2.015137083E-1,9.402803009E-1,2.863589650E-1,5.155181239E-2,1.766746578E-1,3.980263463E1,3.383038225E1,-2.428452771E-1,2.120926318E1
2.115597083E-1,9.403514026E-1,2.861653003E-1,5.198019296E-2,1.764843648E-1,3.977869227E1,3.381700354E1,-1.861031928E-1,2.120257083E1
2.216057083E-1,9.404013467E-1,2.860342552E-1,5.233444776E-2,1.763261876E-1,3.976186615E1,3.380937041E1,-1.397954926E-1,2.119693723E1
2.316517083E-1,9.404345584E-1,2.859574426E-1,5.263567128E-2,1.761839842E-1,3.975067335E1,3.380695606E1,-1.009228153E-1,2.119128143E1
2.416987083E-1,9.404521336E-1,2.859292885E-1,5.289750858E-2,1.760568271E-1,3.974474904E1,3.380940076E1,-6.786440320E-2,2.118596541E1
