"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779704405399262E9,"2026-05-25 19:20:05.399 UTC+09:00"
"PAUSE",1.643782095838105E1,1.779704421836807E9,"2026-05-25 19:20:21.837 UTC+09:00"
